Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,AS,3,Ryan Cowley,32.901,None
2,FS,71,Eric McAfee,33.189,None
3,STX,91,Stephen Curtis,33.292,None
4,CS,1,DYLAN KNUTSON,33.386,None
5,CAM-C,11,Mycole Thon,33.414,None
6,CAM-C,29,Jake Jackson,33.488,None
7,CAM-C,19,Paul Thon,33.759,None
8,STX,7,Trevor Smith,33.772,None
9,SSC,81,Danial Ebling,33.815,None
10,STX,191,George Curtis,33.906,None
11,CAM-S,32,Jade Barlow,33.993,None
12,XS-B,3,Skye Jarvis,34.009,None
13,FS,537,Tracy Pitkin,34.044,None
14,SS,7,Charlie Swindells,34.12,None
15,HS,69,Christian Mariano,34.15,None
16,SS,75,Vernon Jolley,34.348,None
17,CS,23,Justin Dowey,34.406,None
18,CAM-C,8,Dustin Sowerby,34.498,None
19,GS,14,Anthony Mariano,34.522,None
20,CAM-C,52,Koda Atwood,34.636,None
21,ES,27,Jake Crookston,34.659,None
22,DSP,1,Michael Thuet,34.802,None
23,CAM-C,971,Josh Hansen,34.812,None
24,DSP,13,Cameron DeGroff,34.819,None
25,ES,20,Chase Sullivan,35.161,None
26,DS,91,Adam Anderson,35.17,None
27,XS-A,28,Chauncey Evans,35.217,None
28,AS,124,J.D. Perham,35.305,None
29,XS-B,85,Kyle Hanson,35.34,None
30,GS,99,Branden Robertson,35.379,None
31,XS-B,6,Leonardo Di Sera,35.38,None
32,SSM,83,Justin Scott,35.392,None
33,CAM-S,132,Dana Barlow,35.453,None
34,ESL,27,Cristy Crookston,35.566,None
35,CAM-C,18,Christopher Pion,35.571,None
36,CAM-T,84,Kyle Ehrig,35.723,None
37,CSP,37,Dave Tille,36.135,None
38,CS,711,Jeff Welch,36.17,None
39,CAM-C,45,Lane Farka,36.405,None
40,ES,120,Nick Johnston,36.46,None
41,AS,43,Justin Allen,36.639,None
42,SSM,38,Sheldon Scott,36.872,None
43,CAM-T,70,Richie Andrade,37.023,None
44,STU,24,Madison Caldron,37.058,None
45,XS-B,13,Jim Hughes,37.12,None
46,CAM-C,1,Keith Pion,37.233,1
47,CS,64,Joshua Shoemaker,37.3,None
48,STR,22,Zachary Stafford,37.518,None
49,CS,46,Ruben Jimenez,37.558,None
50,XS-BL,85,Brittney Hanson,38.225,None
51,CS,35,Seth Evanhoe,38.434,1
52,CSP,73,Martin Day,38.579,None
53,STU,42,Jose Meza,38.612,None
54,XS-B,5,Trevor Overby,38.665,None
55,CAM-S,14,Gabriel Cerritos,38.682,1
56,CS,20,Kyle Cole,38.937,None
57,STR,88,Chase Pinkney,39.63,None
58,CAM-C,43,Ryan Speight,39.892,None
59,XS-B,693,Alexander Lopez,40.537,1
60,STX,47,Mario Salas,41.154,None
61,FS,11,Branndon Delk,41.193,None
62,FS,7,Angel Beck,42.681,None
63,CSP,69,Gerardo Monroy,43.919,1
64,HS,54,Katie Hokanson,45.033,None
65,ES,5,John Eckert,45.073,None
66,XS-B,89,Mike Smith,45.106,None
67,STHL,210,Rachel McLaughlin,46.075,None
68,XS-B,86,Chad Anderson,46.588,2
69,BS,24,Brandon Allred,47.772,2
70,CS,44,Miguel Jimenez,None,dnf
71,CSP,8,Blake Strand,None,None
72,CSP,18,Joey Kunz,None,None
73,HS,29,Reed Robinson,None,dnf
74,SS,44,Erik Forslund,None,None
75,STX,4,Luis Salas,None,None
