Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,ss,1,Bruce Hanson,32.537,None
2,hs,2,Evan Markewycz,33.106,None
3,cam-c,4,Chase Cochrun,33.43,None
4,sth,41,Tyler Oborn,33.47,None
5,as,3,Ryan Cowley,33.553,None
6,bs,41,David Benson,33.567,None
7,stx,91,Stephen Curtis,33.588,None
8,cam-c,29,Jake Jackson,33.647,None
9,ss,5,Brandon Hurst,33.758,None
10,cam-t,728,Chris Andreasen,33.826,None
11,cs,1,DYLAN KNUTSON,33.958,None
12,fs,95,Mark Cornelius,34.05,None
13,bs,4,Cara Benson,34.301,None
14,fs,537,Tracy Pitkin,34.392,None
15,ssc,81,Danial Ebling,34.481,None
16,sth,4,Aaron Eastman,34.571,None
17,gs,5,Nathan Putnam,34.661,None
18,gs,7,Dale Pitkin,34.699,None
19,cs,11,Jeff Clawson,34.773,None
20,cam-c,11,Mycole Thon,34.786,None
21,hs,11,Meredith Bunsawat,34.943,None
22,es,17,Mark Brown,34.962,None
23,smf,242,Anthony Farrington,34.993,None
24,cam-c,971,Josh Hansen,35.002,None
25,cam-c,19,Paul Thon,35.011,None
26,es,27,Jake Crookston,35.013,None
27,esl,27,Cristy Crookston,35.065,None
28,fs,71,Eric McAfee,35.071,None
29,es,87,Douglas Brown,35.089,None
30,as,124,J.D. Perham,35.42,None
31,str,1,Benjamin Kittrell,35.472,None
32,fs,37,Brian Maucotel,35.641,None
33,ssm,83,Justin Scott,35.685,None
34,cam-t,96,Brett Walton,35.729,None
35,hs,29,Reed Robinson,35.762,None
36,cam-t,84,Kyle Ehrig,35.898,None
37,ds,91,Adam Anderson,35.925,None
38,cam-c,8,Dustin Sowerby,35.946,None
39,stu,64,kyle salisbury,36.127,None
40,ssm,38,Sheldon Scott,36.479,None
41,hs,19,Aaron Borgerding,36.606,None
42,csp,37,Dave Tille,36.607,None
43,bsp,88,Chris Stepp,36.871,None
44,dp,4,Jesse Wiseman,36.924,None
45,str,222,Brayden Bacigalupo,36.949,None
46,cam-t,5,Ryan Green,37.05,None
47,gs,14,Anthony Mariano,37.177,1
48,es,12,Juwan Heng,37.618,None
49,xs-b,85,Kyle Hanson,37.658,None
50,cam-s,60,Ken West,37.687,None
51,xs-a,21,Tyler Larsen,37.897,None
52,ss,23,Brad Larson,38.068,None
53,gs,1,Cj Southwell,38.139,None
54,stu,8,Treq Cameron,38.237,None
55,stu,42,Jose Meza,38.641,None
56,ssp,1,Keith Pion,38.904,None
57,ssp,11,Chris Pion,38.992,None
58,ssp,15,Jon Bingham,39.022,None
59,ss,69,Will Hursey,39.12,None
60,csp,73,Martin Day,39.302,None
61,xs-b,25,Alexander Lopez,39.43,None
62,cam-s,14,Gabriel Cerritos,39.775,None
63,sts,11,Kadin Flinn,40.091,None
64,hs,5,Tucker Hurst,40.227,None
65,hs,13,Kai Reese,40.39,None
66,xs-bl,85,Brittney Hanson,40.408,None
67,fs,5,Creighton Southwell,40.488,None
68,ds,33,Tomas Sangoy,40.736,None
69,cs,20,Kyle Cole,40.858,None
70,str,32,Nathan Hatch,41.061,None
71,xs-b,86,Chad Anderson,41.684,None
72,hs,54,Katie Hokanson,42.741,None
73,cs,5,Jimmy Morch,43.144,None
74,xs-b,8,Reese Anderson,44.695,1
75,hsl,210,Rachel McLaughlin,53.952,None
76,hsl,4,Natalie Davis,63.201,None
77,dm,321,John Adams,None,None
78,fs,62,Jon Wayment,None,dnf
79,smf,66,Ethan Leyba,None,None
80,smf,99,Adam Armstrong,None,None
81,ss,59,Ryan Johnson,None,None
