Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,EV,25,Jordan Priestley,39.617,None
2,CAM-C,29,Jake Jackson,40.008,None
3,STX,91,Stephen Curtis,40.294,None
4,SS,59,Ryan Johnson,40.488,None
5,CAM-C,11,Mycole Thon,40.511,None
6,FS,71,Eric McAfee,40.541,None
7,ES,27,Jake Crookston,40.558,None
8,STX,191,George Curtis,40.833,None
9,HS,24,Nathan Omana,40.936,None
10,ES,87,Douglas Brown,40.963,None
11,GS,17,Jacob Pitkin,41.11,None
12,SSP,4,Christopher Cook,41.169,None
13,DSP,13,Cameron DeGroff,41.288,None
14,CAM-C,22,Parker Singleton,41.368,None
15,HS,17,Michael Terry,41.372,None
16,DSP,1,Michael Thuet,41.416,None
17,EV,52,Koda Atwood,41.422,None
18,AS,3,Ryan Cowley,41.47,None
19,CAM-C,8,Dustin Sowerby,41.563,None
20,GS,7,Dale Pitkin,41.566,None
21,ES,17,Mark Brown,41.629,None
22,CAM-C,76,Bryan Reilly,41.767,None
23,CS,23,Justin Dowey,41.815,None
24,XS-B,3,Skye Jarvis,41.849,None
25,CAM-C,19,Paul Thon,41.907,None
26,CAM-S,32,Jade Barlow,42.063,None
27,CAM-C,971,Josh Hansen,42.079,None
28,GSL,10,Breanna Campbell,42.117,None
29,CAM-C,1,Christopher Pion,42.21,None
30,CS,8,Alex Giesey,42.339,None
31,HS,11,Meredith Bunsawat,42.483,None
32,FS,537,Tracy Pitkin,42.55,None
33,XS-B,85,Kyle Hanson,42.574,None
34,STR,64,Joshua Shoemaker,42.599,None
35,CAM-C,47,Lane Farka,42.751,None
36,ESL,27,Cristy Crookston,42.785,None
37,SMF,242,Anthony Farrington,42.803,None
38,CAM-C,411,Jared Carter,42.842,None
39,ASP,45,David Coombs,42.905,None
40,CAM-C,18,Keith Pion,43.015,None
41,CAM-S,177,Ralph Pensel,43.032,None
42,AS,124,J.D. Perham,43.069,None
43,SS,23,Brad Larson,43.229,None
44,FS,62,Jon Wayment,43.235,None
45,CAM-S,132,Dana Barlow,43.369,None
46,CAM-C,91,Matthew Thon,43.385,None
47,GS,99,Branden Robertson,43.517,None
48,XS-A,8,Chauncey Evans,43.685,None
49,CSP,37,Dave Tille,43.72,None
50,SS,175,Kevin Schultz,43.757,1
51,CP,22,Robert Rebmann,43.78,None
52,SMF,99,Adam Armstrong,43.801,None
53,CAM-T,84,Kyle Ehrig,43.87,None
54,AS,89,Claudia Robles,43.888,None
55,DS,91,Adam Anderson,43.89,None
56,AS,189,Stephen Komlos,44.094,None
57,HS,19,Aaron Borgerding,44.151,None
58,SSM,83,Justin Scott,44.48,None
59,SM,90,Eduardo Lopez,44.537,None
60,HS,2,Casey Tucker,44.584,None
61,STU,42,Jose Meza,44.618,None
62,XS-B,13,Jim Hughes,44.652,None
63,STX,14,Caden Sweeney,44.656,None
64,AS,8,Matt Picard,44.712,None
65,CAM-C,20,Dennis Thornton,44.8,None
66,STU,24,Madison Caldron,45.034,None
67,SSM,38,Sheldon Scott,45.091,None
68,CS,35,Seth Evanhoe,45.168,None
69,CAM-S,14,Gabriel Cerritos,45.35,None
70,SS,75,Vernon Jolley,45.391,2
71,CS,20,Kyle Cole,45.453,None
72,STR,22,Zachary Stafford,45.566,None
73,CS,98,Jayson Bujold,45.588,None
74,XS-A,11,Garrett Holmes,45.616,1
75,FS,42,Sean OKeefe,45.622,None
76,CSP,711,Jeff Welch,45.678,None
77,CPL,22,Chris Rebmann,45.893,None
78,CSP,73,Martin Day,45.932,None
79,CSP,0,Brian Gould,45.986,None
80,CS,42,Andrew Spratt,46.203,None
81,DS,0,Maxwell Ziebell,46.375,None
82,XS-B,693,Alexander Lopez,46.781,None
83,XS-BL,85,Brittney Hanson,47.151,None
84,DS,18,Ed Denton,47.584,None
85,HS,26,David Lakey,47.775,None
86,CSPL,0,Janiel Gould,48.423,None
87,STR,88,Chase Pinkney,48.638,None
88,HS,126,Jaxn Romney,48.875,None
89,XS-B,86,Chad Anderson,49.302,None
90,STU,43,Jaxson Horne,49.561,None
91,DP,3,Levi Black,49.59,None
92,FS,4,Logan Cook,50.204,None
93,STU,19,Trevor Simpson,50.353,None
94,STH,420,Dash Lawson,51.085,None
95,FS,7,Angel Beck,51.457,None
96,CAM-S,1,Grant Bensyl,53.374,None
97,CAM-S,7,Rick Bensyl,53.561,None
98,BM,321,John Adams,53.777,None
99,HS,54,Katie Hokanson,53.957,None
100,STHL,210,Rachel McLaughlin,54.065,None
101,CAM-T,85,Alexander Brixey,55.087,None
102,XS-B,55,Casey Maltby,55.263,None
103,DP,33,Casey Lamprecht,55.662,None
104,CAM-TL,33,Hailee Shepherd,59.935,None
105,XP,29,Iker Rojas Contreras,60.153,None
106,AM,29,not registered,None,None
107,CAM-T,728,Chris Andreasen,None,None
108,FS,3,Branndon Delk,None,None
109,HS,7,Andrew Asimus,None,None
110,HS,29,Reed Robinson,None,None
111,STR,222,Brayden Bacigalupo,None,None
