Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,hs,34,Evan Markewycz,34.202,None
2,ss,5,Brandon Hurst,34.306,None
3,hs,69,Christian Mariano,34.447,None
4,es,136,Skyler Sisson,34.448,None
5,ev,1,Bruce Hanson,34.514,None
6,camt,728,Chris Andreasen,34.562,None
7,cs,1,DYLAN KNUTSON,34.884,None
8,ssp,4,Christopher Cook,34.892,None
9,gs,7,Dale Pitkin,34.936,None
10,es,36,Cameron DeGroff,34.952,None
11,fs,537,Tracy Pitkin,34.955,None
12,camc,7,Tony Medina,35.069,None
13,fs,95,Mark Cornelius,35.118,None
14,cams,32,Jade Barlow,35.142,None
15,as,3,Ryan Cowley,35.336,None
16,cs,35,Seth Evanhoe,35.416,None
17,es,27,Jake Crookston,35.448,None
18,camc,1,Keith Pion,35.465,None
19,ss,86,Kenneth Hansen,35.507,None
20,es,87,Douglas Brown,35.532,None
21,camc,8,Dustin Sowerby,35.534,None
22,camt,96,Brett Walton,35.76,None
23,ssc,81,Danial Ebling,35.814,None
24,cams,177,Ralph Pensel,35.837,None
25,hs,2,Casey Tucker,35.837,None
26,hs,17,Michael Terry,35.887,None
27,ds,11,Michael Beck,35.893,None
28,camc,971,Josh Hansen,35.895,None
29,camc,18,Cristopher Pion,35.903,None
30,ds,91,Adam Anderson,35.906,None
31,sts,72,Alexander Mortensen,35.956,None
32,str,64,Joshua Shoemaker,36.12,None
33,camt,84,Kyle Ehrig,36.204,None
34,cams,132,Dana Barlow,36.319,None
35,cams,60,Ken West,36.33,None
36,ss,75,Vernon Jolley,36.43,None
37,esl,27,Cristy Crookston,36.516,None
38,ss,2,Will Hursey,36.525,None
39,camc,42,Sean O'Keefe,36.551,None
40,smf,242,Anthony Farrington,36.582,None
41,es,3,Jaden Greenland,36.597,None
42,fs,37,Brian Maucotel,36.666,None
43,asp,21,Rod Derrick,36.674,None
44,str,1,Benjamin Kittrell,36.698,None
45,camc,47,Lane Farka,36.744,None
46,as,52,Brian Simpson,36.764,None
47,xsb,124,Shane Johnson,36.78,None
48,fs,5,Joel Nelsen,36.794,None
49,evx,52,Koda Atwood,36.859,None
50,xsb,71,George Curtis,36.899,None
51,gs,99,Branden Robertson,37.0,None
52,as,8,Matt Picard,37.073,None
53,csp,37,Dave Tille,37.213,None
54,cp,22,Robert Rebmann,37.694,None
55,sts,33,Austin Robbins,37.7,None
56,cams,14,Gabriel Cerritos,37.759,None
57,ds,18,Ed Denton,37.808,None
58,cs,42,Andrew Spratt,37.89,None
59,sts,5,Kadin Flinn,37.952,None
60,str,22,Zachary Stafford,37.956,None
61,ss,71,Justin Mecham,37.958,None
62,fs,195,Heather Cornelius,38.015,None
63,cams,43,Justin Allen,38.045,None
64,str,96,Jared Carter,38.162,None
65,sth,8,Nathan Dialogue,38.177,None
66,hs,1,Cj O'Neil,38.323,None
67,sth,18,Daniel Dialogue,38.389,None
68,str,99,Jayce Walker,38.404,None
69,xsb,93,Hayden Lee,38.435,None
70,hs,29,Reed Robinson,38.441,None
71,xsb,27,Kade Lansford,38.839,None
72,xp,65,Paul Thon,38.87,None
73,ssp,17,Chris McAdams,38.877,None
74,cs,46,Ruben Jimenez,38.895,None
75,stu,24,Madison Caldron,38.946,None
76,sts,24,Joseph West,38.99,None
77,stu,42,Jose Meza,39.099,1
78,str,88,Chase Pinkney,39.183,None
79,str,111,Rusty Horlacher,39.201,None
80,sm,18,Brooks Ossana,39.272,None
81,csp,0,Brian Gould,39.283,None
82,hs,32,Clayton Wilson,39.751,1
83,es,93,Christian Robert,39.855,None
84,camt,70,Richie Andrade,39.865,None
85,hs,51,Mitchell Mifflin,39.914,None
86,hs,5,Tucker Hurst,40.064,None
87,cpl,22,Chris Rebmann,40.072,None
88,hs,26,David Lakey,40.307,None
89,smf,82,Herb Hall,40.422,None
90,str,11,Katherine Clarke,40.478,None
91,hs,126,Jaxn Romney,40.5,None
92,as,94,Brandon Barclay,40.69,None
93,fs,12,Jeff & Robbins,40.838,None
94,sth,3,Shone Cole,40.905,None
95,hs,521,Aren Anderton,40.912,None
96,cspl,0,Janiel Gould,40.992,None
97,dp,3,Levi Black,41.058,None
98,xsb,7,Zion Gedo,41.559,1
99,xsb,2,Treven Lansford,41.589,None
100,dm,0,Travis Johnson,41.664,None
101,gsl,3,Kaatje Fisk,41.771,None
102,ds,53,Gary Peterson,41.882,None
103,bs,96,Rees Mecham,41.923,None
104,sthl,210,Rachel McLaughlin,42.221,None
105,dp,33,Casey Lamprecht,42.275,None
106,cm,33,Glen Palmer,42.488,None
107,xsb,86,Chad Anderson,42.579,None
108,camt,85,Alexander Brixey,42.785,None
109,fs,33,Mark Miller,43.84,None
110,dsl,77,Mackenzie Roberts,44.475,None
111,fsp,48,Ben Mullen,45.494,None
112,xsb,8,Reese Anderson,45.731,1
113,xsb,55,Casey Maltby,45.947,None
114,camc,163,Aidyn Palmer,51.083,None
115,camc,133,Jayden Palmer,58.491,1
116,am,1,Aly Anderson,None,None
117,cp,66,Boyd Butler,None,None
118,gs,11,Patrick Rape,None,dnf
119,ss,42,Andrew Bowden,None,None
120,str,7,Tyler Olsen,None,None
121,sts,161,Tristan Davis,None,None
