Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,CAM-C,4,Chase Cochrun,39.699,None
2,AS,3,Ryan Cowley,39.832,None
3,STX,91,Stephen Curtis,40.768,None
4,SS,59,Ryan Johnson,40.821,None
5,STX,76,Paul Hamilton,41.111,None
6,CAM-C,29,Jake Jackson,41.202,None
7,STX,176,Chase Sullivan,41.716,None
8,CAM-S,32,Jade Barlow,41.922,None
9,STH,2,Doug McBride,41.94,None
10,STX,191,George Curtis,42.196,1
11,STR,1,Benjamin Kittrell,42.489,None
12,CAM-C,971,Josh Hansen,42.808,None
13,STX,7,Trevor Smith,42.831,1
14,STU,23,Gabby Thompson,42.917,None
15,STU,3,Jared Carter,43.498,None
16,CAM-S,132,Dana Barlow,43.59,None
17,STH,4,Aaron Eastman,44.019,None
18,SMF,11,Mycole Thon,44.032,None
19,SMF,111,Paul Thon,44.281,None
20,SMF,99,Adam Armstrong,44.458,None
21,CSP,37,Dave Tille,45.376,None
22,BSP,88,Chris Stepp,45.618,None
23,DS,64,Joshua Shoemaker,46.242,None
24,CAM-C,9,Michael Thuet,46.31,None
25,HS,2,Evan Markewycz,46.496,None
26,STH,53,Nathan Faucheux,46.857,1
27,CS,1,DYLAN KNUTSON,46.904,None
28,HS,11,Meredith Bunsawat,46.927,None
29,SSP,11,Chris Pion,47.037,None
30,SSP,1,Keith Pion,47.147,None
31,SSC,4,Austin Dowda,47.454,None
32,HS,17,Michael Terry,47.477,None
33,GS,99,Branden Robertson,47.725,None
34,HS,21,Tyler Larsen,47.923,None
35,ES,111,Rusty Horlacher,48.032,None
36,CS,35,Seth Evanhoe,48.654,None
37,ES,27,Jake Crookston,48.673,None
38,FS,167,Adam Hill,48.722,None
39,GS,5,Nathan Putnam,48.858,None
40,CSP,73,Martin Day,48.877,None
41,CS,123,Cameron DeGroff,48.968,None
42,CAM-C,98,Andrew Davis,49.056,None
43,STU,24,Madison Caldron,49.392,None
44,HS,22,Carlos Alatrista,49.525,None
45,HS,99,Matthew Sevy,49.655,None
46,ESL,27,Cristy Crookston,49.745,None
47,CAM-T,5,Ryan Green,50.071,None
48,DS,91,Adam Anderson,50.075,None
49,CS,23,Justin Dowey,50.171,None
50,ES,11,Katherine Clarke,50.232,None
51,XS-A,42,Kevin Schultz,50.393,1
52,ES,87,Douglas Brown,50.474,None
53,SSC,81,Danial Ebling,51.245,None
54,FS,71,Eric McAfee,51.319,None
55,HS,9,Cj O'Neil,51.369,None
56,ES,12,Juwan Heng,51.68,None
57,CS,20,Kyle Cole,52.735,None
58,ASP,21,Rod Derrick,52.783,None
59,CAM-T,96,Brett Walton,53.509,None
60,CSL,1,Katherine Shields,53.57,None
61,ES,95,Gerardo Monroy,53.594,None
62,STX,0,Don Johnson,53.772,None
63,FS,62,Jon Wayment,54.37,None
64,CAM-T,84,Kyle Ehrig,None,None
65,CSP,2,Brian Gould,None,None
66,CSPL,2,Janiel Gould,None,None
67,XS-B,17,Mark Brown,None,None
68,XS-B,88,Chase Pinkney,None,None
