Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,BS,41,David Benson,29.639,None
2,HS,69,Christian Mariano,29.822,None
3,FS,95,Mark Cornelius,29.872,None
4,STX,91,Stephen Curtis,30.237,None
5,SS,5,Brandon Hurst,30.297,None
6,XS-B,31,Stephen Curtis,30.327,None
7,FS,71,Eric McAfee,30.408,None
8,CAM-C,29,Jake Jackson,30.439,None
9,FS,537,Tracy Pitkin,30.46,None
10,CAM-S,32,Jade Barlow,30.522,None
11,SSP,4,Christopher Cook,30.603,None
12,STH,41,Tyler Oborn,30.698,None
13,ES,27,Jake Crookston,30.703,None
14,CAM-S,132,Dana Barlow,30.977,None
15,DSP,1,Michael Thuet,31.024,None
16,STR,64,Joshua Shoemaker,31.039,None
17,CS,35,Seth Evanhoe,31.138,None
18,CAM-C,8,Dustin Sowerby,31.24,None
19,STR,222,Brayden Bacigalupo,31.288,None
20,BS,4,Cara Benson,31.309,None
21,HS,17,Michael Terry,31.335,None
22,DSP,13,Cameron DeGroff,31.339,None
23,FS,37,Brian Maucotel,31.351,None
24,CAM-C,971,Josh Hansen,31.435,None
25,DP,136,Skyler Sisson,31.504,None
26,CAM-C,18,Christopher Pion,31.509,None
27,XS-B,3,Skye Jarvis,31.509,None
28,CAM-C,11,Mycole Thon,31.525,None
29,XS-B,85,Kyle Hanson,31.549,None
30,GS,99,Branden Robertson,31.55,None
31,CAM-S,177,Ralph Pensel,31.567,None
32,ES,87,Douglas Brown,31.591,None
33,CAM-T,96,Brett Walton,31.668,None
34,ASP,21,Rod Derrick,31.737,None
35,ESL,27,Cristy Crookston,31.741,None
36,CAM-C,19,Paul Thon,31.812,None
37,SSM,83,Justin Scott,31.952,None
38,SSM,38,Sheldon Scott,32.1,None
39,CAM-T,84,Kyle Ehrig,32.105,None
40,DS,91,Adam Anderson,32.144,None
41,AS,8,Matt Picard,32.295,None
42,SS,7,Charlie Swindells,32.343,None
43,EVX,52,Koda Atwood,32.39,None
44,GSL,10,Breanna Campbell,32.433,1
45,CAM-C,1,Keith Pion,32.441,None
46,CAM-C,47,Lane Farka,32.529,None
47,HS,2,Casey Tucker,32.654,None
48,SS,75,Vernon Jolley,32.861,None
49,CAM-S,43,Justin Allen,33.113,None
50,DP,4,Jesse Wiseman,33.115,None
51,XS-B,27,Kade Lansford,33.526,None
52,CSP,37,Dave Tille,33.655,None
53,CAM-C,42,Sean OKeefe,33.771,None
54,CSP,2,Brian Gould,33.883,None
55,CS,98,Jayson Bujold,34.074,None
56,STU,42,Jose Meza,34.078,None
57,STU,56,Spencer Clawson,34.229,None
58,STU,24,Madison Caldron,34.301,None
59,CAM-T,70,Richie Andrade,34.314,None
60,CAM-S,14,Gabriel Cerritos,34.404,1
61,STR,111,Rusty Horlacher,34.413,None
62,GS,16,Chris Thompson,34.43,None
63,HS,19,Aaron Borgerding,34.5,None
64,FS,195,Heather Cornelius,34.548,None
65,HS,26,David Lakey,34.784,None
66,HS,29,Reed Robinson,34.792,None
67,STH,8,Nathan Dialogue,35.073,None
68,XS-B,693,Alexander Lopez,35.206,None
69,CSP,73,Martin Day,35.287,None
70,STS,5,Kadin Flinn,35.4,None
71,XS-BL,85,Brittney Hanson,35.449,None
72,ES,187,Abigail Brown,35.474,None
73,STR,11,Katherine Clarke,35.541,None
74,STR,22,Zachary Stafford,35.565,None
75,DS,18,Ed Denton,35.708,None
76,CAM-C,43,Ryan Speight,35.982,None
77,DP,3,Levi Black,36.165,None
78,GS,19,Luke Thompson,36.528,None
79,XS-B,86,Chad Anderson,36.555,None
80,CAM-C,213,Greg Buker,37.179,1
81,DP,33,Casey Lamprecht,37.668,None
82,CAM-C,98,Andrew Davis,38.232,None
83,FS,19,Matteo DeLaTorre,38.859,None
84,SS,17,Bob Austin,39.518,None
85,CSPL,2,Janiel Gould,39.804,None
86,XS-B,68,Vance K. Allen,40.243,1
87,CSP,69,Gerardo Monroy,40.618,None
88,CAM-T,37,Tysen Mietus,40.852,None
89,STHL,210,Rachel McLaughlin,41.894,None
90,XS-B,1,Richard Ohran,54.143,2
91,AS,124,J.D. Perham,None,None
92,GSL,3,Kaatje Fisk,None,None
93,SMF,29,Iker Rojas Contreras,None,None
94,SMF,729,Laila Joyce,None,None
95,SSP,44,Erik Forslund,None,None
96,STH,11,Dale Pitkin,None,None
97,STH,111,Jacob Pitkin,None,None
98,STR,32,Nathan Hatch,None,dnf
