Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,CAMS,32,Jade Barlow,32.819,None
2,CAMC,11,Mycole Thon,32.867,None
3,ASP,21,Rod Derrick,33.316,None
4,STX,91,Stephen Curtis,33.428,None
5,ES,136,Skyler Sisson,33.534,None
6,STX,191,George Curtis,33.57,None
7,ES,36,Cameron DeGroff,33.734,None
8,CS,11,Meredith Bunsawat,33.754,None
9,CS,1,DYLAN KNUTSON,33.817,None
10,CAMC,29,Jake Jackson,33.881,1
11,CS,23,Justin Dowey,34.199,None
12,CAMS,132,Dana Barlow,34.289,None
13,CAMC,18,Christopher Pion,34.35,None
14,CAMC,8,Dustin Sowerby,34.394,None
15,STR,5,Tyler Olsen,34.501,None
16,CAMC,19,Paul Thon,34.508,None
17,XP,114,Andrew Maffessanti,34.573,None
18,ES,27,Jake Crookston,34.608,None
19,CAMC,1,Keith Pion,34.613,None
20,ES,87,Douglas Brown,34.618,None
21,HS,2,Casey Tucker,34.666,None
22,XSB,85,Kyle Hanson,34.868,None
23,CAMS,177,Ralph Pensel,34.899,1
24,DS,11,Michael Beck,34.916,None
25,CAMT,84,Kyle Ehrig,35.324,None
26,CAMC,91,Matthew Thon,35.461,None
27,FS,95,Mark Cornelius,35.496,2
28,DS,64,Joshua Shoemaker,35.728,None
29,CAMC,971,Josh Hansen,35.749,None
30,SS,71,Justin Mecham,35.769,None
31,CAMT,70,Richie Andrade,35.853,None
32,ESL,27,Cristy Crookston,35.91,None
33,XSB,93,Hayden Lee,35.97,None
34,DS,18,Ed Denton,36.219,None
35,ES,3,Jaden Greenland,36.476,None
36,STU,24,Madison Caldron,36.564,None
37,SMF,99,Adam Armstrong,36.581,None
38,SMF,89,Jacob Bastian,36.61,None
39,EVX,52,Koda Atwood,36.776,1
40,CSP,37,Dave Tille,37.416,None
41,STS,5,smf 5,37.672,None
42,STU,79,Warren Smith,37.976,None
43,STR,99,Jayce Walker,38.297,None
44,XSB,98,Gabriel Cerritos,38.313,None
45,CAMC,23,Jason Roberts,38.331,None
46,CSP,0,Brian Gould,38.445,None
47,XSBL,85,Brittney Hanson,38.513,None
48,BS,96,Rees Mecham,38.674,None
49,CSP,711,Jeff Welch,38.716,None
50,FSP,48,Ben Mullen,38.75,None
51,FS,3,Branndon Delk,39.481,None
52,AS,94,Brandon Barclay,40.414,None
53,CSPL,0,Janiel Gould,40.989,None
54,DS,53,Gary Peterson,41.494,None
55,HS,54,Katie Hokanson,42.666,None
56,XSB,86,Chad Anderson,42.831,1
57,DSL,77,Mackenzie Roberts,43.037,None
58,CAMT,916,Nicholas Hart,43.856,None
59,SMF,5,Brandon Davis,54.821,None
60,CAMS,71,Vernon Jolley,None,dnf
