Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,AS,3,Ryan Cowley,38.209,None
2,STX,91,Stephen Curtis,39.308,None
3,ASP,25,Jordan Priestley,39.328,None
4,STR,1,Benjamin Kittrell,40.156,None
5,STH,81,Danial Ebling,40.363,None
6,FS,71,Eric McAfee,40.374,None
7,SS,5,Brandon Hurst,40.564,None
8,CAM-S,32,Jade Barlow,40.617,None
9,FS,37,Brian Maucotel,40.781,None
10,SSP,42,Kevin Schultz,40.878,None
11,CAM-C,11,Mycole Thon,41.131,None
12,ES,87,Douglas Brown,41.343,None
13,ASP,21,Rod Derrick,41.533,None
14,HS,17,Michael Terry,41.645,None
15,DS,2,Mike Beck,41.997,None
16,CAM-C,19,Paul Thon,42.185,None
17,XS-A,8,Chauncey Evans,42.434,None
18,STR,222,Brayden Bacigalupo,42.552,None
19,XS-B,85,Kyle Hanson,42.605,None
20,CS,22,Zachary Stafford,42.622,None
21,CAM-S,132,Dana Barlow,42.932,1
22,XS-B,93,Hayden Lee,43.288,None
23,CAM-C,971,Josh Hansen,43.727,None
24,CAM-C,68,Joel Gonzales,44.052,None
25,STS,5,Kadin Flinn,44.525,None
26,HS,29,Reed Robinson,44.585,None
27,CAM-S,14,Gabriel Cerritos,44.863,None
28,STR,99,Jayce Walker,45.027,None
29,XS-B,25,Alexander Lopez,45.398,None
30,XS-BL,85,Brittney Hanson,45.883,None
31,HS,98,Andrew Davis,46.092,None
32,STR,9,Grant Cole,46.343,1
33,CAM-C,48,Donald Wenger,46.382,None
34,DS,53,Gary Peterson,46.83,None
35,CSP,73,Martin Day,47.009,None
36,STS,3,Dylan Cook,47.244,None
37,XS-B,88,Chase Pinkney,47.469,None
38,STS,33,Andrew Page,47.946,1
39,CS,73,Ammon Campbell,48.019,None
40,STU,24,Madison Caldron,48.26,None
41,STU,81,Saul Leininger,48.522,None
42,HS,26,David Lakey,48.982,None
43,NXS-B,86,Chad Anderson,49.183,None
44,STH,420,Dash Lawson,50.306,None
45,HSL,3,Rosangela Aldridge,50.344,None
46,NHS,126,David Lakey,50.618,None
47,BM,321,Craig Christiansen,51.847,None
48,STR,10,Brystun Jarvis,52.418,None
49,STU,8,John Aldrige,53.86,None
50,STH,225,Nick Romney,55.396,None
51,NXS-B,89,Melvin Anderson,55.426,None
52,HSL,4,Natalie Davis,64.437,2
53,DS,7,Nathan Rushton,None,None
54,DS,11,Michael Beck,None,None
55,GS,3,John Aldridge,None,None
