Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,AS,3,Ryan Cowley,28.197,None
2,SS,25,Jordan Priestley,28.928,None
3,HS,2,Evan Markewycz,28.971,None
4,CAM-C,29,Jake Jackson,28.975,None
5,CAM-C,52,Koda Atwood,29.174,None
6,STH,41,Tyler Oborn,29.477,None
7,STX,91,Stephen Curtis,29.767,None
8,FS,71,Eric McAfee,29.776,None
9,SS,13,Christopher Burton,29.834,None
10,ASP,21,Rod Derrick,29.887,None
11,GS,5,Nathan Putnam,29.923,None
12,STX,7,trevor smith,30.1,None
13,GS,14,Anthony Mariano,30.258,None
14,CAM-S,32,Jade Barlow,30.288,None
15,ES,27,Jake Crookston,30.357,None
16,CAM-C,19,Paul Thon,30.436,None
17,STX,191,George Curtis,30.791,None
18,CAM-S,132,Dana Barlow,30.982,None
19,NHSL,4,Natalie Davis,30.995,None
20,SSM,83,Justin Scott,31.158,None
21,CAM-C,971,Josh Hansen,31.235,None
22,DS,91,Adam Anderson,31.243,None
23,STR,64,Joshua Shoemaker,31.586,None
24,SSM,38,Sheldon Scott,31.624,None
25,STX,11,Bronson Cornilles,31.645,None
26,DS,2,Michael Beck,31.709,None
27,HS,11,Meredith Bunsawat,31.809,None
28,ESL,27,Cristy Crookston,31.96,None
29,SMF,242,Anthony Farrington,32.005,None
30,ASP,45,David Coombs,32.473,None
31,CS,35,Seth Evanhoe,32.562,None
32,CAM-T,5,Ryan Green,32.62,None
33,SM,42,Eduardo Lopez,32.694,None
34,STS,33,Austin Robbins,32.845,None
35,SMF,11,Mycole Thon,33.083,None
36,CAM-T,118,Chris Pion,33.236,None
37,STU,79,Warren Smith,33.507,None
38,SMF,37,Travis Breshears,33.655,None
39,CAM-T,18,Keith Pion,33.697,None
40,SMF,911,,33.827,None
41,CS,33,Zach King,33.843,None
42,HS,23,Austin Crowson,34.053,None
43,STU,77,Adam Hurdman,34.115,None
44,STR,99,Jayce Walker,34.325,None
45,DS,53,Gary Peterson,34.327,None
46,ASP,145,Nikolas Wheatley,34.441,None
47,CS,34,Bryan King,34.762,None
48,DS,7,Nathan Rushton,34.766,None
49,CSP,2,Brian Gould,34.81,None
50,CS,131,Lawrence Shane,34.883,None
51,CAM-T,70,Richie Andrade,35.043,None
52,HS,29,Reed Robinson,35.42,1
53,NDS,8,Joshua Duke,35.499,None
54,SMF,99,Adam Armstrong,35.795,1
55,EP,171,Anthony Van Natter,36.179,None
56,CS,13,Corbin Loveless,36.875,None
57,CS,21,Caleb Mason,37.211,None
58,CSPL,2,Janiel Gould,37.216,None
59,NXS-B,86,Chad Anderson,37.509,None
60,BM,21,Andrew Fordham,37.654,None
61,HS,53,Megan A Stokes,38.09,None
62,NHSL,44,Andrew Davis,38.312,None
63,EP,17,Daniel Terry,39.177,1
64,BM,321,John Adams,39.741,None
65,CAM-C,69,Chatchai Khammuan,40.782,None
66,STU,43,Jaxson Horne,41.607,None
67,CAM-C,11,Mycole Thon,None,None
68,EP,177,Michael Terry,None,None
69,STR,1,Benjamin Kittrell,None,None
70,XS-B,88,Chase Pinkney,None,dnf
