Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,ES,180,Seth Feuerborn,30.791,None
2,STH,81,Danial Ebling,31.064,None
3,STS,27,Kameron Clements,31.11,None
4,HS,2,Evan Markewycz,31.158,None
5,BS,67,Mark Cornelius,31.25,None
6,STU,47,Christopher Cook,31.26,None
7,DP,136,Skyler Sisson,31.263,None
8,ES,187,Bevin Johnson,31.41,None
9,ES,36,Cameron DeGroff,31.417,None
10,CAM-C,6,Tony Medina,31.448,None
11,AS,3,Ryan Cowley,31.674,None
12,STX,76,Paul Hamilton,31.716,None
13,CAM-C,4,Chase Cochrun,31.8,None
14,SMF,113,Scott Kincaid,31.836,None
15,ES,111,Rusty Horlacher,31.989,None
16,CS,222,Brayden Bacigalupo,32.155,None
17,SS,25,Jordan Priestley,32.22,None
18,FS,71,Eric McAfee,32.236,None
19,ES,87,Douglas Brown,32.344,None
20,ES,20,Chase Sullivan,32.491,None
21,HS,69,Christian Mariano,32.498,None
22,STX,6,Brian Reilly,32.533,None
23,CAM-S,148,allen densmore,32.542,None
24,STX,91,Stephen Curtis,32.57,1
25,SS,5,Brandon Hurst,32.63,None
26,GSL,10,Breanna Campbell,32.663,None
27,STU,42,Kevin Schultz,32.725,1
28,FS,37,Brian Maucotel,32.752,None
29,CS,1,DYLAN KNUTSON,32.834,1
30,ESP,37,Brandon Shaw,32.835,None
31,XP,114,Andrew Maffessanti,32.846,None
32,CAM-C,52,Koda Atwood,32.879,None
33,ES,11,Katherine Clarke,32.94,None
34,CAM-S,32,Jade Barlow,32.96,None
35,ES,73,Amber Dawn Jorgensen,33.15,None
36,CAM-S,48,Cal Craner,33.215,None
37,STR,37,Dave Tille,33.3,None
38,CAM-C,22,Alex Kim,33.321,None
39,CAM-C,1,Jeremy Baker,33.366,None
40,CAM-C,29,Jake Jackson,33.378,1
41,ASP,21,Rod Derrick,33.39,None
42,SMF,242,Anthony Farrington,33.466,1
43,AS,124,J.D. Perham,33.478,None
44,DS,91,Adam Anderson,33.678,None
45,GS,5,Nathan Putnam,33.766,None
46,CAM-T,96,Brett Walton,33.77,None
47,XP,14,Benjamin Kittrell,33.911,None
48,CAM-S,71,Vernon Jolley,33.968,None
49,ESL,27,Cristy Crookston,34.02,None
50,DS,82,Leonardo Di Sera,34.201,None
51,CSL,1,Katherine Shields,34.203,None
52,AS,13,Juston Gardner,34.238,None
53,HS,21,Tyler Larsen,34.328,1
54,XS-B,17,Mark Brown,34.384,None
55,CAM-SL,32,Dana Barlow,34.404,None
56,SSM,83,Justin Scott,34.434,None
57,XP,165,Mycole Thon,34.496,None
58,DM,2,Trey McGhee,34.627,None
59,BS,10,Timothy Robinson,34.64,None
60,STH,37,Travis Breshears,34.64,1
61,ESP,73,Ronette Shaw,34.644,None
62,HS,11,Meredith Bunsawat,34.754,1
63,ESL,87,Abigal Brown,34.76,None
64,FS,743,Joel Nelsen,34.814,None
65,XP,65,Paul Thon,34.835,None
66,XS-B,85,Kyle Hanson,34.869,None
67,STR,23,Jeff Clawson,34.947,None
68,ES,27,Jake Crookston,34.96,2
69,DM,29,Brad Layton,34.998,None
70,SMF,99,Adam Armstrong,35.144,None
71,ASP,60,Michael Patterson,35.18,None
72,STU,525,Sean Repanshek,35.263,None
73,DP,241,Jesse Wiseman,35.359,None
74,SM,25,Nick Johnston,35.41,None
75,STU,13,Luis Sarinana,35.52,None
76,STH,53,Nathan Faucheux,35.567,None
77,CAM-T,31,Paul Simmons,35.635,None
78,HSL,5,Emilia Hurst,35.748,None
79,BS,167,Heather Cornelius,35.908,None
80,GS,14,Anthony Mariano,35.973,None
81,CAM-C,8,Dustin Sowerby,36.034,1
82,STU,52,Jamie Moreno,36.089,None
83,SS,7,Charlie Swindells,36.131,None
84,DS,24,Madison Caldron,36.165,None
85,CAM-T,84,Kyle Ehrig,36.191,1
86,STU,3,Jared Carter,36.233,None
87,GS,1,Matthew Sevy,36.407,None
88,CS,98,Jayson Bujold,36.688,1
89,GS,16,Chris Thompson,36.728,None
90,STH,11,Nick Blain,36.905,None
91,BSP,88,Chris Stepp,37.004,None
92,SSM,38,Sheldon Scott,37.334,1
93,CSP,2,Brian Gould,37.378,None
94,HS,29,Reed Robinson,37.4,None
95,DS,66,Spencer Clawson,37.52,None
96,CS,999,Tyler Stark,37.726,None
97,CSPL,2,Janiel Gould,37.854,None
98,SS,167,Adam Hill,38.323,None
99,GS,10,Cj O'Neil,38.391,1
100,CAM-T,34,corby Adams,38.551,None
101,SMF,82,Herb Hall,38.736,None
102,AS,24,Jamie Perham,39.103,None
103,HS,1,Andrew Davis,39.262,None
104,ES,120,Jared Sullivan,39.478,None
105,GSL,16,Jessica Thompson,39.818,None
106,STU,15,Jon Bingham,39.954,None
107,CAM-T,52,Crue Adams,39.974,None
108,SSP,1,Keith Pion,40.192,None
109,ES,13,Austin Turner,40.438,None
110,ESP,15,Cameron Beck,41.03,None
111,ES,1,Dale Pitkin,None,None
112,GS,22,Valentino Batalla,None,None
113,HS,19,Aaron Borgerding,None,None
114,STU,41,Kevin Schultz,None,None
115,DSP,1,Michael Thuet,None,None
116,DSP,31,David Thuet,None,None
117,XS-B,716,Chris Dearden,None,None
