Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,stu,47,Christopher Cook,36.818,None
2,bs,41,David Benson,37.188,None
3,gs,4,Jake Jackson,37.386,None
4,cs,132,Skyler Sisson,37.393,None
5,bs,67,Mark Cornelius,37.512,None
6,stu,41,Kevin Schultz,37.67,None
7,cam-c,77,Greg Nelson,38.011,None
8,ds,21,Jeff Lundgren,38.077,None
9,es,327,Cameron DeGroff,38.095,None
10,as,3,Ryan Cowley,38.241,None
11,bs,537,Tracy Pitkin,38.267,None
12,stx,91,Stephen Curtis,38.478,None
13,sth,81,Danial Ebling,38.594,None
14,as,7,Trevor Smith,38.701,None
15,cam-c,11,Mycole Thon,38.71,None
16,stx,523,Besim Hojhalli,38.724,None
17,stu,10,Jack Liston,38.74,None
18,cs,56,Ryan Calhoun,38.779,None
19,sth,41,Tyler Oborn,38.804,None
20,bs,4,Cara Benson,38.85,None
21,hs,69,Christian Mariano,38.858,None
22,fs,71,Eric McAfee,38.877,None
23,cs,1,DYLAN KNUTSON,38.985,None
24,es,13,Ryan Fritsch,39.175,None
25,gsl,10,Breanna Campbell,39.241,None
26,str,37,Dave Tille,39.342,None
27,ssp,25,Jordan Priestley,39.365,None
28,asp,21,Rod Derrick,39.493,None
29,cam-c,1,Jeremy Baker,39.527,None
30,es,87,Douglas Brown,39.567,None
31,hs,36,Dillon Hansen,39.571,None
32,es,74,William Jeppson,39.709,None
33,sth,14,Jared Carter,39.759,None
34,ss,7,Charlie Swindells,39.827,None
35,bs,162,Jade Barlow,39.835,None
36,xs-b,3,Gabriel Jarvis,39.896,None
37,xs-b,85,Kyle Hanson,39.948,None
38,csl,32,Dana Barlow,40.021,None
39,es,111,Rusty Horlacher,40.072,None
40,es,3,Kaden Martin,40.081,None
41,bs,62,Jon Wayment,40.085,None
42,ssm,38,Sheldon Scott,40.154,None
43,cam-c,15,Perry Taylor,40.237,None
44,es,27,Jake Crookston,40.298,None
45,xp,114,Andrew Maffessanti,40.307,None
46,smf,242,Anthony Farrington,40.348,None
47,dp,82,Timothy Zupancic,40.362,None
48,bs,153,Jamie Moreno,40.37,None
49,cp,22,Robert Rebmann,40.526,None
50,ssm,83,Justin Scott,40.611,None
51,esl,13,Michelle Fritsch,40.629,None
52,ss,5,Brandon Hurst,40.638,None
53,cam-c,404,Stephen Komlos,40.67,None
54,es,187,Brayden Bacigalupo,40.702,None
55,gs,35,Dax Mitchell,40.727,None
56,bs,34,Justin Moore,40.733,None
57,dsp,1,Michael Thuet,40.799,None
58,str,387,Cole Kelson,40.822,None
59,stu,123,Jacob Pitkin,40.847,None
60,stx,2,Wesley Curtis,40.954,None
61,cam-c,971,Josh Hansen,41.04,None
62,cam-c,22,Alex Kim,41.086,None
63,ss,17,Ryan Swindells,41.166,None
64,str,23,Jeff Clawson,41.242,None
65,cam-t,28,Chris Andreasen,41.301,1
66,stu,525,Sean Repanshek,41.316,None
67,es,11,Katherine Clarke,41.412,None
68,hs,11,Meredith Bunsawat,41.485,None
69,stx,67,Terry Lane,41.522,None
70,stx,42,Joseph Haun,41.575,None
71,sth,37,Travis Breshears,41.575,1
72,stx,89,Allan Sandoval,41.613,None
73,as,124,J.D. Perham,41.647,None
74,es,314,Jared Schrock,41.769,1
75,cam-sl,89,Claudia Robles,41.778,None
76,cs,5,Christina Calhoun,41.796,None
77,xs-b,17,Mark Brown,41.805,None
78,bs,167,Heather Cornelius,41.863,None
79,es,22,Eric Ahern,41.965,None
80,xp,65,Paul Thon,42.182,None
81,fsp,91,Aaron Brown,42.273,None
