Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
82,stu,23,Gabby Thompson,42.297,None
83,ssp,92,Thomas Di Nardo,42.38,None
84,hs,6,Tyler Scott,42.405,None
85,cam-c,52,Koda Atwood,42.464,None
86,as,8,Matt Picard,42.468,None
87,csl,1,Katherine Shields,42.477,None
88,xs-b,716,Chris Dearden,42.482,None
89,cs,98,Jayson Bujold,42.664,None
90,smf,89,Jacob Bastian,42.911,None
91,ds,91,Adam Anderson,43.127,None
92,csp,2,Brian Gould,43.192,None
93,cam-c,2,Parker Singleton,43.486,None
94,es,132,Joe Skehan,43.556,None
95,fs,11,Dusty Argyle,43.572,None
96,fsp,911,Fiona Shaw,43.597,None
97,es,31,Isaac Foster,43.699,None
98,hs,606,Eli Reeder,44.037,None
99,xs-b,13,Jim Hughes,44.13,None
100,gs,14,Anthony Mariano,44.157,1
101,hs,22,Carlos Alatrista,44.239,None
102,stx,110,Jason Klug,44.273,None
103,ds,51,Grayson Kane,44.297,None
104,hs,19,Aaron Borgerding,44.341,None
105,xs-b,6,Trevor Overby,44.466,None
106,stu,25,Chris Bingham,44.616,None
107,fs,1,Jon Argyle,44.705,None
108,sts,13,Chris Yokum,44.81,None
109,dp,182,Craig Zimet,44.886,1
110,stx,10,Nathanael Finlay,44.929,None
111,sts,16,Frank Lopez,44.934,None
112,cspl,2,Janiel Gould,45.003,None
113,bs,17,David Kane,45.109,None
114,as,24,Jamie Perham,45.185,None
115,str,12,Juwan Heng,45.192,None
116,gs,212,Ian Davis,45.234,None
117,xs-b,71,Cody McGowan,45.271,1
118,ss,42,Samuel Seager,45.573,None
119,sts,29,Shelby Williams,45.674,None
120,ds,82,Leonardo Di Sera,45.913,None
121,xs-b,9,Matt Prejean,45.92,None
122,cs,69,Caleb Mason,46.753,None
123,stx,69,Cody Argyle,47.028,None
124,ssm,68,Wyatt Poll,47.19,None
125,ds,1,Jordan Olsen,47.264,None
126,ds,8,Sante Di Sera,47.557,None
127,ss,69,Ben Seager,47.701,None
128,xs-a,61,Daniel Adams,48.214,None
129,hsl,5,Emilia Hurst,49.01,None
130,xs-bl,98,Shelby Bujold,49.18,None
131,dsp,13,Andrew Davis,49.667,None
132,bs,13,Jex Barber,49.922,None
133,stx,222,Read Harris,50.395,None
134,stsl,11,Ashley Williams,52.051,None
135,ds,2,Thomas Cryer,None,None
136,ds,7,Barbara Ramos-Cryer,None,None
137,hs,29,Reed Robinson,None,dnf
138,smf,82,Herb Hall,None,None
139,esl,2,Cristy Crookston,None,None
