Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,stx,523,Besim Hojhalli,35.411,1
2,stx,144,Austin Dowda,36.418,None
3,stu,47,Christopher Cook,36.444,None
4,xs-a,47,Gregory Gabbott,36.633,None
5,stx,93,Stephen Curtis,36.678,None
6,sts,33,Austin Robbins,36.834,None
7,cs,32,Jade Barlow,36.898,None
8,ds,3,Dalton Wallace,37.275,None
9,stu,41,Kevin Schultz,37.306,None
10,cam-c,1,Jeremy Baker,37.311,None
11,ss,5,Brandon Hurst,37.407,None
12,xp,14,Benjamin Kittrell,37.537,None
13,asp,21,Rod Derrick,37.688,None
14,gs,4,Jake Jackson,37.692,None
15,hs,69,Christian Mariano,37.705,None
16,es,74,William Jeppson,37.734,None
17,es,3,Kaden Martin,38.531,1
18,gsl,10,Breanna Campbell,39.057,None
19,es,314,Jared Schrock,39.101,1
20,hs,23,Brexan Koerner,39.371,None
21,as,7,Trevor Smith,39.713,None
22,ssp,92,Thomas Di Nardo,39.729,None
23,es,87,Douglas Brown,39.847,None
24,hs,21,Tyler Larsen,39.892,None
25,stx,52,Bailey Groutage,39.9,1
26,es,27,Jake Crookston,39.919,None
27,ds,77,John Candelaria,40.009,None
28,fs,71,Eric McAfee,40.035,None
29,cam-c,22,Alex Kim,40.08,1
30,csl,32,Dana Barlow,40.107,None
31,esl,13,Michelle Fritsch,40.384,None
32,str,3,Dave Tille,40.597,None
33,smf,89,Jacob Bastian,40.69,None
34,xs-b,17,Mark Brown,40.856,None
35,xs-al,47,Anna Gabbott,41.048,None
36,gs,35,Dax Mitchell,41.081,None
37,cs,98,Jayson Bujold,41.285,None
38,stx,44,John Dowda,41.561,None
39,esl,27,Cristy Crookston,41.697,1
40,str,23,Jeff Clawson,42.089,None
41,xs-b,72,Todd Christopher,42.156,None
42,smf,99,Adam Armstrong,42.164,1
43,es,13,Ryan Fritsch,42.214,None
44,ds,444,Wyatt Jones,42.282,None
45,xp,114,Andrew Maffessanti,42.633,None
46,ds,53,Gary Peterson,42.987,None
47,xp,65,Paul Thon,43.671,None
48,gs,14,Anthony Mariano,43.722,None
49,es,2,Brian Gould,43.923,None
50,str,5,Christina Calhoun,44.028,None
51,ds,13,Jonathan Wallace,44.036,None
52,hs,19,Aaron Borgerding,44.084,None
53,esl,2,Janiel Gould,44.155,None
54,fs,7,Scott Lafeen,44.274,None
55,hs,666,Cameron Hatch,44.92,None
56,gs,77,Greg Hardcastle,45.469,None
57,csl,98,Shelby Bujold,45.649,1
58,xs-b,77,Ryan Sperry,46.247,1
59,str,56,Ryan Calhoun,None,None
60,ss,59,Ryan Johnson,None,None
61,as,3,Ryan Cowley,None,None
62,bs,67,Mark Cornelius,None,None
63,gs,311,Nathan Erickson,None,None
64,hs,22,Carlos Alatrista,None,dnf
65,sts,37,Travis Breshears,None,None
66,fsp,28,Cody Haacke,None,dnf
67,cam-c,971,Josh Hansen,None,dnf
68,cam-c,4,Chase Cochrun,None,None
69,cam-c,52,Koda Atwood,None,None
70,cam-c,77,Greg Nelson,None,None
71,xs-b,3,Gabriel Jarvis,None,dnf
