Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,STR,178,christopher vreeland,29.813,None
2,HS,2,Evan Markewycz,29.974,None
3,ES,36,Cameron DeGroff,30.346,None
4,STU,47,Christopher Cook,30.366,None
5,AS,3,Ryan Cowley,30.65,None
6,SSP,92,Thomas Di Nardo,30.978,None
7,ASP,21,Rod Derrick,30.985,None
8,GS,4,Jake Jackson,31.015,None
9,STX,23,Besim Hojhalli,31.06,None
10,DP,136,Skyler Sisson,31.126,None
11,FS,71,Eric McAfee,31.393,None
12,CS,222,Brayden Bacigalupo,31.746,None
13,GSL,10,Breanna Campbell,31.814,None
14,ES,27,Jake Crookston,31.88,None
15,STH,37,Travis Breshears,32.468,None
16,XP,14,Benjamin Kittrell,32.522,None
17,STX,91,Stephen Curtis,32.63,1
18,ESL,27,Cristy Crookston,32.699,None
19,XP,114,Andrew Maffessanti,32.729,None
20,DSP,1,Michael Thuet,33.018,None
21,SMF,242,Anthony Farrington,33.026,None
22,STR,23,Jeff Clawson,33.089,None
23,CAM-C,52,Koda Atwood,33.117,1
24,ES,111,Rusty Horlacher,33.171,None
25,XS-A,88,Gregan Pace,33.201,None
26,ESL,13,Michelle Fritsch,33.348,None
27,XP,65,Paul Thon,33.367,None
28,ES,13,Ryan Fritsch,33.461,None
29,HS,11,Meredith Bunsawat,33.472,None
30,ASP,90,Eduardo Lopez,33.479,None
31,ES,11,Katherine Clarke,33.559,None
32,DS,91,Adam Anderson,33.627,None
33,XS-B,17,Mark Brown,33.674,None
34,CAM-C,971,Josh Hansen,33.834,None
35,XP,6,Leonardo Di Sera,33.901,None
36,XS-B,93,Hayden Lee,34.117,None
37,BS,99,Abdullah Bouran,34.234,None
38,STR,64,Joshua Shoemaker,34.304,1
39,CAM-C,23,Jason Roberts,34.535,None
40,HS,29,Reed Robinson,34.571,None
41,CAM-C,8,Dustin Sowerby,34.78,None
42,XS-B,72,Todd Christopher,34.894,None
43,DSP,13,Andrew Davis,34.897,None
44,ASPL,7,Greta Curley,34.98,None
45,CSP,2,Brian Gould,35.063,None
46,XS-A,36,Dillon Hansen,35.214,None
47,DS,44,Kyler Close,35.241,None
48,DP,170,Matthew Michaud,35.367,None
49,GS,16,Kyle Bradshaw,35.427,None
50,CAM-T,415,Richie Andrade,35.575,None
51,GS,17,Chris Thompson,35.875,None
52,CAM-CL,23,Jennifer Roberts,35.923,None
53,CAM-T,31,Paul Simmons,36.006,None
54,GS,53,Nathan Faucheux,36.05,None
55,XS-B,81,Danial Ebling,36.244,None
56,XP,1,Jai Curley,36.453,None
57,CAM-C,2,Parker Singleton,36.637,None
58,CS,33,Denver Fischer,36.742,None
59,XS-A,95,Samuel Heiner,36.781,None
60,CSPL,2,Janiel Gould,36.868,None
61,HSL,95,Meagan Heiner,37.236,None
62,CAM-T,84,Kyle Ehrig,37.704,None
63,XS-BL,172,Amy Christopher,37.902,None
64,STR,42,Andrew Spratt,38.498,1
65,STR,77,Justin Dowey,38.739,None
66,DSP,93,Jordan Whipple,39.329,None
67,FM,77,Nathan Putnam,40.959,None
68,STX,55,Stephen Harvey,40.966,None
69,STR,2,Michael Farnsworth,41.94,None
70,XP,4,Dave Tille,None,None
