Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,bs,67,Mark Cornelius,29.411,None
2,stu,47,Christopher Cook,29.736,None
3,dp,136,Skyler Sisson,29.835,None
4,hs,2,Evan Markewycz,29.836,None
5,es,36,Cameron DeGroff,29.912,None
6,bs,537,Tracy Pitkin,29.98,None
7,as,3,Ryan Cowley,30.12,None
8,sth,81,Danial Ebling,30.129,None
9,stx,76,Paul Hamilton,30.274,None
10,es,180,Seth Feuerborn,30.492,None
11,sth,5,Jacob Pitkin,30.54,None
12,cam-c,4,Chase Cochrun,30.68,None
13,stx,91,Stephen Curtis,30.842,None
14,cs,71,Bevin Johnson,30.869,None
15,cam-c,6,Tony Medina,31.145,None
16,es,111,Rusty Horlacher,31.208,None
17,smf,242,Anthony Farrington,31.281,None
18,stu,79,Warren Smith,31.358,None
19,cs,222,Brayden Bacigalupo,31.413,None
20,gsl,10,Breanna Campbell,31.476,None
21,fs,71,Eric McAfee,31.523,None
22,es,87,Douglas Brown,31.532,None
23,xp,114,Andrew Maffessanti,31.661,None
24,cam-s,48,Cal Craner,31.677,None
25,cam-c,1,Jeremy Baker,31.742,None
26,sts,27,Kameron Clements,31.841,None
27,es,27,Jake Crookston,31.87,None
28,str,37,Dave Tille,31.893,None
29,esp,37,Brandon Shaw,31.893,None
30,es,6,Dale Pitkin,31.966,None
31,hs,69,Christian Mariano,32.083,None
32,as,52,Brian Simpson,32.123,None
33,ds,21,Jeff Lundgren,32.151,None
34,cam-c,22,Alex Kim,32.173,None
35,cam-c,971,Josh Hansen,32.272,None
36,cam-c,52,Koda Atwood,32.287,None
37,asp,21,Rod Derrick,32.316,None
38,es,20,Chase Sullivan,32.377,None
39,cam-s,148,Allan Dinsmore,32.378,None
40,cs,1,DYLAN KNUTSON,32.436,1
41,es,11,Katherine Clarke,32.454,None
42,smf,113,Scott Kincaid,32.459,None
43,stx,6,Brian Reilly,32.476,None
44,cam-t,96,Brett Walton,32.544,None
45,xs-b,17,Mark Brown,32.593,None
46,stx,11,Bronson Cornilles,32.623,None
47,asp,60,Michael Patterson,32.636,None
48,gs,5,Nathan Putnam,32.641,None
49,as,124,J.D. Perham,32.668,None
50,xs-a,28,Chauncey Evans,32.706,None
51,xs-b,85,Kyle Hanson,32.834,None
52,cam-s,32,Jade Barlow,32.863,None
53,cam-c,8,Dustin Sowerby,33.103,None
54,str,23,Jeff Clawson,33.11,None
55,ssm,38,Sheldon Scott,33.176,None
56,ds,91,Adam Anderson,33.386,None
57,bs,10,Timothy Robinson,33.433,None
58,es,132,Joe Skehan,33.567,None
59,esl,27,Cristy Crookston,33.571,None
60,gs,99,Branden Robertson,33.647,None
61,sm,25,Nick Johnston,33.665,None
62,dm,2,Trey McGhee,33.786,None
63,cam-t,84,Kyle Ehrig,33.82,None
64,ssm,83,Justin Scott,33.853,None
65,sts,33,Austin Robbins,33.934,None
66,hs,1,Clayton Wilson,33.953,None
67,xp,11,Hayden Lee,33.974,None
68,sm,10,Jayce Walker,34.121,1
69,es,73,Amber Dawn Jorgensen,34.186,None
70,cam-s,71,Vernon Jolley,34.197,None
71,xs-a,47,Gregory Gabbott,34.219,1
72,stx,3,Clayton Stapley,34.336,None
73,hs,19,Aaron Borgerding,34.397,None
74,dp,241,Jesse Wiseman,34.411,None
75,stu,176,Todd Christopher,34.482,None
76,dm,29,Brad Layton,34.5,None
77,cam-t,31,Paul Simmons,34.704,None
78,gs,14,Anthony Mariano,34.711,None
79,smf,99,Adam Armstrong,34.718,None
80,str,3,Larry Hall,34.85,None
81,sth,53,Nathan Faucheux,34.978,None
82,xs-al,47,Anna Gabbott,35.005,None
83,cam-c,119,Cj Southwell,35.151,None
84,esp,73,Ronette Shaw,35.219,None
85,sts,3,Joseph West,35.322,None
86,fs,743,Joel Nelsen,35.355,None
87,gs,16,Chris Thompson,35.84,None
88,xp,14,Benjamin Kittrell,35.916,None
89,gs,10,Cj O'Neil,36.061,None
90,cam-sl,32,Dana Barlow,36.08,1
91,xs-b,5,Trevor Overby,36.081,None
92,fs,12,Jeff Robbins,36.417,None
93,cs,999,Tyler Stark,36.428,None
94,gs,22,Valentino Batalla,36.519,None
95,smf,82,Herb Hall,36.699,None
96,xs-bl,85,Brittney Hanson,36.986,None
97,ds,24,Madison Caldron,37.367,1
98,cam-t,24,Clay Jennings,37.425,None
99,bsp,88,Chris Stepp,37.659,None
100,cam-t,69,Boston Curnow,37.861,None
101,hs,21,Tyler Larsen,38.023,None
102,sth,57,Payton Clements,38.115,None
103,cam-t,34,Corby Adams,38.918,None
104,ds,53,Gary Peterson,39.901,None
105,gs,116,Luke Thompson,40.154,1
106,es,120,Jared Sullivan,40.418,None
107,cam-t,52,Crue Adams,40.891,None
108,fs,8,Grant Cole,42.084,None
109,sts,43,Wayne Crabtree,42.218,None
110,str,69,Mason Curnow,42.352,1
111,sts,143,Heather Darley,43.938,None
112,sts,127,Luis Sarinana,50.039,2
113,ss,25,Jordan Priestley,None,None
114,ss,42,Samuel Seager,None,None
115,fs,1,Andrew Davis,None,None
116,hs,15,Weston Burnett,None,None
117,hs,29,Reed Robinson,None,None
118,hs,722,Bradley Gordon,None,None
119,stu,41,Kevin Schultz,None,None
120,sth,37,Travis Breshears,None,None
121,ssp,1,Keith Pion,None,dnf
122,dsp,1,Michael Thuet,None,None
123,dsp,31,David Thuet,None,None
124,esp,15,Cameron Beck,None,dnf
125,xs-b,716,Chris Dearden,None,None
126,stul,76,Amy Christopher,None,None
