Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,str,178,christopher vreeland,48.664,None
2,stu,47,Christopher Cook,48.821,None
3,stu,41,Kevin Schultz,49.195,None
4,ssp,59,Ryan Johnson,49.503,None
5,asp,25,Jordan Priestley,49.929,None
6,bs,67,Mark Cornelius,49.969,None
7,stx,91,Stephen Curtis,49.977,None
8,gs,4,Jake Jackson,50.009,None
9,stu,10,Jack Liston,50.112,None
10,as,3,Ryan Cowley,50.29,None
11,cam-c,11,Mycole Thon,50.522,None
12,cs,1,DYLAN KNUTSON,50.55,None
13,sth,1,Jacob Pitkin,50.551,None
14,es,36,Cameron DeGroff,50.69,None
15,stx,523,Besim Hojhalli,51.014,None
16,ssp,92,Thomas Di Nardo,51.049,None
17,fs,71,Eric McAfee,51.144,None
18,cs,32,Jade Barlow,51.192,None
19,cs,222,Brayden Bacigalupo,51.211,None
20,dp,136,Skyler Sisson,51.393,None
21,bs,537,Tracy Pitkin,51.429,None
22,cs,6,Alex Giesey,51.431,None
23,cam-c,1,Jeremy Baker,51.446,None
24,gsl,10,Breanna Campbell,51.461,None
25,cam-c,13,Christopher Burton,51.538,None
26,es,132,Joe Skehan,51.836,None
27,bs,4,Cara Benson,51.878,None
28,cam-c,176,Bryan Reilly,52.002,None
29,es,111,Rusty Horlacher,52.008,None
30,es,6,Kyle Walker,52.06,None
31,cam-c,52,Koda Atwood,52.112,None
32,sth,14,Jared Carter,52.26,None
33,xs-a,28,Chauncey Evans,52.268,None
34,ssm,83,Justin Scott,52.355,None
35,str,7,Tyler Olsen,52.423,None
36,str,37,Dave Tille,52.46,None
37,dsp,1,Michael Thuet,52.659,None
38,dp,82,Timothy Zupancic,52.668,None
39,csl,32,Dana Barlow,52.875,None
40,es,13,Ryan Fritsch,52.94,None
41,es,87,Douglas Brown,52.974,1
42,bs,72,Read Summerill,53.038,None
43,xs-a,91,George Curtis,53.148,None
44,xs-b,85,Kyle Hanson,53.159,None
45,es,11,Katherine Clarke,53.231,None
46,cp,82,James Nightingale,53.256,None
47,cam-c,404,Stephen Komlos,53.276,None
48,str,64,Joshua Shoemaker,53.462,None
49,es,37,Travis Breshears,53.567,None
50,bs,37,Dale Pitkin,53.577,None
51,asp,21,Rod Derrick,53.598,None
52,bs,62,Jon Wayment,53.68,None
53,esl,13,Michelle Fritsch,53.794,None
54,xs-b,17,Mark Brown,53.803,None
55,hs,11,Meredith Bunsawat,53.829,None
56,hs,36,Dillon Hansen,53.878,None
57,ss,5,Brandon Hurst,53.906,None
58,cam-sl,89,Claudia Robles,53.96,None
59,cam-c,971,Josh Hansen,54.178,None
60,as,124,J.D. Perham,54.564,None
61,xs-b,716,Chris Dearden,54.647,None
62,str,23,Jeff Clawson,54.711,None
63,smf,55,Jacob Reeder,54.72,None
64,stu,525,Sean Repanshek,54.772,None
65,gs,14,Anthony Mariano,54.97,None
66,stu,23,Gabby Thompson,55.037,None
67,ds,18,Blake Strand,55.059,None
68,ds,91,Adam Anderson,55.19,None
69,csl,1,Katherine Shields,55.212,None
70,smf,242,Anthony Farrington,55.261,None
71,es,79,Hunter Bogar,55.272,None
72,es,12,Juwan Heng,55.272,None
73,bs,14,Fiona Shaw,55.315,None
74,ds,51,Grayson Kane,55.377,None
75,ds,82,Leonardo Di Sera,55.399,None
76,xs-a,95,Samuel Heiner,55.498,None
77,sth,11,Nick Blain,55.611,None
78,str,31,Paul Judd,55.684,None
79,xp,65,Paul Thon,55.715,None
80,aspl,7,Greta Curley,55.862,None
81,bs,167,Heather Cornelius,55.879,None
82,ds,1,David Kane,56.075,None
83,sth,77,J Sperry,56.503,None
84,csp,2,Brian Gould,56.706,None
85,cs,98,Jayson Bujold,56.774,None
86,str,73,Martin Day,57.029,None
87,hs,19,Aaron Borgerding,57.054,None
88,hs,606,Eli Reeder,57.111,None
89,esl,87,Abigail Brown,57.378,None
90,ds,8,Sante Di Sera,57.746,None
91,cam-t,24,Clay Jennings,57.803,None
92,cam-t,31,Paul Simmons,57.817,None
93,cs,241,Jesse Wiseman,57.852,None
94,asp,11,Will Krempa,58.461,None
95,hs,42,Mat Brown,58.468,None
96,xs-a,21,Tyler Larsen,58.709,None
97,sts,13,Chris Yokum,58.775,None
98,dsp,13,Andrew Davis,58.82,None
99,hs,12,Keaton Beckstrand,58.983,None
100,es,212,Michael Heng,59.017,None
101,cam-t,5,Ryan Green,59.408,None
102,gs,212,Ian Davis,59.556,None
103,cspl,2,Janiel Gould,59.796,None
104,sts,5,Kadin Flinn,60.098,None
105,csl,98,Shelby Bujold,60.233,None
106,xs-b,9,Matt Prejean,60.452,None
107,dp,182,Matthew Zupancic,61.326,2
108,xs-a,3,Cameron Hatch,61.468,None
109,hsl,95,Meagan Rosser,61.661,None
110,cam-t,74,Austin Ford,61.849,None
111,es,69,bruno miranda,62.538,None
112,hsl,5,Emilia Hurst,62.837,None
113,smf,82,Herb Hall,65.645,1
114,sscr,44,Austin Dowda,66.427,None
115,sscr,144,Danial Ebling,66.654,None
116,cp,83,Mason Nightingale,71.07,None
117,as,24,Jamie Perham,None,None
118,gs,2,Christopher White,None,None
119,ssr,5,Brad Clark,None,None
120,cam-c,4,Chase Cochrun,None,None
121,cam-c,7,Tony Medina,None,None
122,xs-b,8,Brandon Davis,None,None
123,xs-b,3,Gabriel Jarvis,None,None
