Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,HS,2,Evan Markewycz,32.258,None
2,STU,47,Christopher Cook,32.42,None
3,BS,41,David Benson,32.99,None
4,STR,178,christopher vreeland,33.083,None
5,ES,36,Cameron DeGroff,33.161,None
6,GS,4,Jake Jackson,33.182,None
7,BS,537,Tracy Pitkin,33.47,None
8,SS,25,Jordan Priestley,33.499,None
9,CAM-C,4,Chase Cochrun,33.633,None
10,STX,91,Stephen Curtis,33.684,None
11,BS,23,Besim Hojhalli,33.69,None
12,STX,7,Trevor Smith,33.703,None
13,XS-A,0,Randolph Porter,33.708,None
14,STU,41,Kevin Schultz,33.716,None
15,SSC,4,Austin Dowda,33.721,None
16,CAM-T,28,Chris Andreasen,33.722,None
17,STH,81,Danial Ebling,33.782,None
18,HS,69,Christian Mariano,33.799,None
19,CS,1,DYLAN KNUTSON,33.929,None
20,AS,3,Ryan Cowley,34.004,None
21,FS,71,Eric McAfee,34.141,None
22,XS-B,6,David Faircloth,34.262,None
23,BS,4,Cara Benson,34.357,None
24,CS,6,Alex Giesey,34.493,None
25,CAM-C,1,Jeremy Baker,34.567,None
26,ES,87,Douglas Brown,34.616,None
27,CS,56,Ryan Calhoun,34.682,None
28,BS,37,Dale Pitkin,34.696,None
29,DP,136,Skyler Sisson,34.742,None
30,ES,27,Jake Crookston,34.745,None
31,CAM-C,7,Tony Medina,34.825,None
32,CS,32,Jade Barlow,34.895,None
33,SS,5,Brandon Hurst,35.066,None
34,ASP,21,Rod Derrick,35.092,None
35,XS-A,28,Chauncey Evans,35.132,None
36,XP,114,Andrew Maffessanti,35.156,None
37,CAM-C,52,Koda Atwood,35.289,None
38,BS,62,Jon Wayment,35.325,None
39,XS-B,3,Gabriel Jarvis,35.372,None
40,SMF,55,Jacob Reeder,35.435,None
41,STH,14,Jared Carter,35.487,None
42,FS,37,Brian Maucotel,35.572,None
43,SMF,242,Anthony Farrington,35.579,None
44,ES,13,Ryan Fritsch,35.696,None
45,XP,14,Benjamin Kittrell,35.74,None
46,STH,42,Colby Abel,35.781,None
47,ES,37,Travis Breshears,35.869,None
48,GS,15,Nolan Jones,35.94,None
49,SSP,92,Thomas Di Nardo,35.967,None
50,CAM-C,404,Stephen Komlos,36.115,None
51,GSL,10,Breanna Campbell,36.36,1
52,ES,7,Tristan Zadeh,36.468,None
53,ES,17,Braxton Martinson,36.49,None
54,CSL,32,Dana Barlow,36.557,None
55,ESL,27,Cristy Crookston,36.611,None
56,STR,387,Cole Kelson,36.743,None
57,GS,18,Blake Strand,36.746,None
58,XP,65,Paul Thon,36.808,None
59,CP,22,Robert Rebmann,36.916,None
60,SSM,18,Brooks Ossana,37.0,None
61,CAM-C,22,Alex Kim,37.064,None
62,XS-B,17,Mark Brown,37.102,None
63,FS,195,Chris Langan,37.38,None
64,ESL,13,Michelle Fritsch,37.403,None
65,STR,31,Paul Judd,37.429,None
66,XP,165,Mycole Thon,37.485,None
67,STR,37,Dave Tille,37.724,None
68,CS,222,Brayden Bacigalupo,37.741,None
69,CAM-C,971,Josh Hansen,37.751,None
70,ESL,21,Hailey DeGroff,37.837,None
71,HSL,11,Meredith Bunsawat,38.077,None
72,STS,20,Carlos Zurita-Delgado,38.347,None
73,ES,22,Eric Ahern,38.513,None
74,HS,36,Dillon Hansen,38.52,None
75,XS-B,77,Ryan Sperry,38.69,None
76,XP,6,Lenny Di Sera,38.854,None
77,CS,98,Jayson Bujold,38.893,None
78,CS,5,Christina Calhoun,38.915,None
79,CSL,1,Katherine Shields,39.07,None
80,STR,23,Jeff Clawson,39.249,None
81,CAM-T,89,Jacob Bastian,39.37,None
82,STX,77,John Candelaria,39.41,None
83,CAM-C,119,Cj Southwell,39.511,None
84,CAM-T,31,Paul Simmons,39.736,None
85,CS,9,Matt Prejean,40.226,None
86,SMF,99,Adam Armstrong,40.282,None
87,GS,212,Ian Davis,40.431,None
88,FS,4,Creighton Southwell,40.897,None
89,GS,96,Zachary Mayo,41.06,None
90,CSPL,2,Janiel Gould,41.096,None
91,CSL,98,Shelby Bujold,41.341,None
92,DS,91,Adam Anderson,41.828,None
93,STH,69,Chaz Janke,41.982,None
94,ESL,127,Lexi Crookston,42.112,None
95,CAM-T,69,Boston Curnow,42.272,None
96,SSR,68,Wyatt Poll,42.501,None
97,CSP,2,Brian Gould,42.971,None
98,STR,13,Chris Yokum,43.008,None
99,HS,5,Emilia Hurst,48.593,None
100,BS,33,Kenadee Martinson,52.396,None
101,CPL,22,Chris Rebmann,None,None
102,BS,204,Eduardo Lopez,None,dnf
103,CS,223,Beth Bacigalupo,None,None
104,ES,71,John Kesler,None,None
105,GS,14,Anthony Mariano,None,dnf
106,CAM-C,12,Dave Taylor,None,dnf
107,SSM,38,Sheldon Scott,None,None
108,SSM,83,Justin Scott,None,None
109,XS-B,13,Jim Hughes,None,dnf
