Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,ES,36,Cameron DeGroff,41.203,None
2,BS,41,David Benson,41.238,None
3,ES,136,Skyler Sisson,41.439,None
4,HS,4,Evan Markewycz,41.955,None
5,STU,47,Christopher Cook,42.078,None
6,CAM-C,4,Chase Cochrun,42.128,None
7,STX,91,Stephen Curtis,42.145,None
8,BS,4,Cara Benson,42.437,None
9,XS-B,6,David Faircloth,42.577,None
10,DS,21,Jeff Lundgren,42.803,None
11,AS,3,Ryan Cowley,42.934,None
12,CAM-C,7,Tony Medina,43.169,None
13,ES,27,Jake Crookston,43.285,None
14,CAM-C,1,Jeremy Baker,43.312,None
15,EP,171,Dale Pitkin,43.336,1
16,ASP,21,Rod Derrick,43.354,None
17,SS,5,Brandon Hurst,43.532,None
18,ES,37,Travis Breshears,43.676,None
19,CAM-C,13,Christopher Burton,43.757,None
20,CS,56,Ryan Calhoun,43.92,None
21,ES,13,Ryan Fritsch,44.002,None
22,CAM-T,28,Chris Andreasen,44.067,None
23,CS,32,Jade Barlow,44.099,None
24,HS,69,Christian Mariano,44.224,None
25,CAM-C,11,Mycole Thon,44.558,None
26,XS-A,93,George Curtis,44.787,None
27,ES,314,Jared Schrock,44.811,None
28,SSP,92,Thomas Di Nardo,44.821,None
29,AS,50,Rod Golsan,44.845,None
30,SSM,38,Sheldon Scott,44.891,None
31,CAM-C,12,Dave Taylor,45.049,None
32,CS,1,DYLAN KNUTSON,45.063,None
33,SM,10,Jack Liston,45.169,None
34,XS-A,0,Randy Porter,45.21,None
35,DSL,7,Greta Curley,45.236,None
36,XP,14,Benjamin Kittrell,45.269,None
37,ES,3,Kaden Martin,45.281,None
38,ESL,27,Cristy Crookston,45.311,1
39,ESL,13,Michelle Fritsch,45.44,None
40,XS-B,3,Gabriel Jarvis,45.448,1
41,CSL,32,Dana Barlow,45.456,None
42,DS,18,Blake Strand,45.469,None
43,XS-A,28,Chauncey Evans,45.837,None
44,DS,89,Salim Sanchez,45.902,None
45,CAM-T,89,Jacob Bastian,45.927,None
46,HS,0,Andrew Jolley,46.289,None
47,AS,8,Matt Picard,46.304,None
48,GS,15,Nolan Jones,46.412,1
49,STX,42,Joseph Haun,46.413,None
50,SSM,83,Justin Scott,46.454,1
51,CAM-C,55,Brandon Jeppsen,46.524,None
52,XS-B,716,Chris Dearden,46.58,None
53,SM,87,Thomas Marquez,46.607,1
54,ES,7,Tristan Zadeh,46.636,None
55,ES,74,William Jeppson,46.736,None
56,SMF,242,Anthony Farrington,46.966,None
57,XS-B,17,Mark Brown,46.97,None
58,STX,2,Wesley Curtis,47.073,None
59,BS,34,Justin Moore,47.096,1
60,SS,7,Charlie Swindells,47.176,None
61,SSP,6,Kirill Chernyavskiy,47.298,None
62,CAM-C,22,Alex Kim,47.494,None
63,CS,5,Christina Calhoun,47.618,None
64,CAM-C,971,Josh Hansen,47.755,None
65,XP,6,Lenny Di Sera,48.237,None
66,STR,23,Jeff Clawson,48.715,1
67,CSL,1,Katherine Shields,48.745,None
68,STR,5,Mitchell Carman,49.009,None
69,HS,41,Christian Jorgensen,49.082,None
70,XP,82,Timothy Zupancic,49.179,None
71,CAM-T,46,Andy Andreasen,49.249,None
72,CSP,2,Brian Gould,49.315,None
73,XP,65,Paul Thon,49.321,None
74,GS,0,Rolf Strand,49.431,None
75,HS,22,Carlos Alatrista,49.474,None
76,HS,36,Dillon Hansen,49.535,None
77,XS-B,77,Ryan Sperry,49.562,None
78,HS,24,Jose Meza,49.63,None
79,CS,98,Jayson Bujold,49.635,None
80,CAM-C,119,Cj Southwell,49.663,None
81,XS-A,21,Tyler Larsen,49.774,None
82,HS,19,Aaron Borgerding,49.913,None
83,DS,74,Shawn Luu,49.967,None
84,XS-B,13,Jim Hughes,50.136,None
85,GS,14,Anthony Mariano,50.31,1
86,HS,3,Cameron Hatch,50.34,None
87,EP,17,Michael Terry,50.655,None
88,CAM-C,70,Konner Jeppsen,51.378,None
89,BM,21,Andrew Fordham,52.006,None
90,CS,9,Matt Prejean,52.089,None
91,CP,8,Dave Hoppie,52.109,None
92,CSPL,2,Janiel Gould,52.185,None
93,GS,96,Zachary Mayo,52.275,None
94,XS-B,25,Alexander Lopez,52.359,None
95,CAM-T,31,Paul Simmons,52.594,None
96,CSL,98,Shelby Bujold,52.773,None
97,HS,141,Jacob Ross,53.074,None
98,CP,7,Bruce Smith,53.219,None
99,XS-A,182,Sam Hurly,53.262,1
100,GS,212,Ian Davis,54.594,None
101,DS,7,Barbara Ramos-Cryer,55.2,None
102,STH,7,Mason Curnow,62.442,None
103,HS,5,Emilia Hurst,69.222,None
104,HS,666,Jake Scarbrough,None,None
105,SSP,18,Jennifer Long,None,None
106,CAM-C,52,Koda Atwood,None,None
107,SM,23,Justin Lee,None,dnf
