Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,GS,4,Jake Jackson,30.616,None
2,DS,21,Jeff Lundgren,30.718,None
3,AS,3,Ryan Cowley,30.8,None
4,HS,44,Austin Dowda,30.87,None
5,STH,81,Danial Ebling,30.871,None
6,CS,1,DYLAN KNUTSON,30.91,None
7,ASP,25,Jordan Priestley,31.115,None
8,HS,144,Evan Markewycz,31.587,1
9,SMF,242,Anthony Farrington,31.924,None
10,ES,36,Cameron DeGroff,31.959,None
11,SSM,83,Justin Scott,32.102,None
12,ES,111,Rusty Horlacher,32.105,None
13,SS,5,Brandon Hurst,32.115,None
14,ASP,21,Rod Derrick,32.116,None
15,STU,47,Christopher Cook,32.156,None
16,CS,6,Alex Giesey,32.207,None
17,FS,71,Eric McAfee,32.324,None
18,CAM-C,52,Koda Atwood,32.646,1
19,BS,67,Mark Cornelius,32.788,1
20,XP,14,Benjamin Kittrell,32.801,None
21,CSL,32,Dana Barlow,32.889,None
22,ES,87,Douglas Brown,32.965,None
23,ES,27,Jake Crookston,33.013,None
24,STR,64,Joshua Shoemaker,33.058,None
25,CS,222,Brayden Bacigalupo,33.136,1
26,XS-B,17,Mark Brown,33.152,None
27,CAM-C,971,Josh Hansen,33.341,None
28,ESL,27,Cristy Crookston,33.368,None
29,HS,21,Tyler Larsen,33.422,None
30,SSP,92,Thomas Di Nardo,33.435,1
31,SSM,38,Sheldon Scott,33.473,None
32,STR,7,Tyler Olsen,33.588,None
33,STR,23,Jeff Clawson,33.678,None
34,ES,11,Katherine Clarke,33.722,None
35,XP,65,Paul Thon,34.097,None
36,HS,11,Meredith Bunsawat,34.173,None
37,XS-B,72,Todd Christopher,34.285,None
38,CAM-C,351,Jose Ramirez,34.607,None
39,XP,114,Andrew Maffessanti,35.444,None
40,CAM-C,2,Parker Singleton,35.477,2
41,CAM-S,606,Stephen Komlos,35.629,1
42,STU,525,Sean Repanshek,35.632,None
43,STR,37,Dave Tille,36.249,None
44,GS,5,Nathan Putnam,36.642,1
45,CAM-C,23,Jason Roberts,36.971,None
46,SS,167,Adam Hill,37.159,None
47,STX,3,Clayton Stapley,37.25,None
48,CAM-T,31,Paul Simmons,37.285,None
49,STH,53,Nathan Faucheux,37.609,None
50,FP,57,John Adams,37.647,None
51,ES,12,Juwan Heng,37.648,1
52,CAM-T,5,Ryan Green,37.668,None
53,CSPL,2,Janiel Gould,37.749,None
54,CAM-T,84,Kyle Ehrig,37.812,None
55,XS-B,93,Hayden Lee,37.818,1
56,SMF,89,Jacob Bastian,37.992,None
57,XS-B,172,Amy Christopher,38.752,1
58,DS,53,Gary Peterson,39.288,None
59,CSP,2,Brian Gould,39.539,1
60,SS,67,Aaron Hill,40.182,1
61,HS,29,Reed Robinson,40.544,None
62,AM,18,Jamie Moreno,43.087,None
63,CAM-C,20,Jay Wesener,52.246,None
64,ES,420,Ethan O'Regan,None,dnf
65,GS,22,Valentino Batalla,None,None
66,STX,91,Stephen Curtis,None,None
67,CAM-T,2,Ralph Pensel,None,None
68,XS-A,93,George Curtis,None,None
