Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,HS,2,Evan Markewycz,30.779,None
2,BS,67,Mark Cornelius,30.88,None
3,DP,136,Skyler Sisson,31.918,None
4,STX,91,Stephen Curtis,31.936,None
5,ES,36,Cameron DeGroff,32.061,None
6,AS,3,Ryan Cowley,32.284,None
7,CAM-C,52,Koda Atwood,32.668,None
8,HS,69,Christian Mariano,32.681,None
9,BS,537,Tracy Pitkin,32.857,1
10,BS,41,David Benson,32.879,None
11,STR,37,Dave Tille,32.9,None
12,FS,71,Eric McAfee,32.919,None
13,CS,222,Brayden Bacigalupo,33.094,None
14,CAM-C,1,Jeremy Baker,33.178,None
15,XP,114,Andrew Maffessanti,33.183,None
16,GS,4,Jake Jackson,33.459,1
17,STU,47,Christopher Cook,33.463,1
18,SSM,83,Justin Scott,33.471,None
19,ES,27,Jake Crookston,33.504,None
20,SS,7,Charlie Swindells,33.51,None
21,ES,87,Douglas Brown,33.581,None
22,ES,13,Ryan Fritsch,33.586,None
23,CAM-C,404,Stephen Komlos,33.607,None
24,DS,93,Tim Campbell,33.639,None
25,SSM,38,Sheldon Scott,33.815,None
26,CS,6,Alex Giesey,33.831,None
27,XP,14,Benjamin Kittrell,33.887,None
28,ESL,21,Hailey DeGroff,34.017,None
29,GSL,10,Breanna Campbell,34.036,None
30,SMF,242,Anthony Farrington,34.446,None
31,ES,111,Rusty Horlacher,34.537,None
32,STR,23,Jeff Clawson,34.581,None
33,BS,4,Cara Benson,34.67,None
34,DS,83,Todd Campbell,34.674,None
35,DSP,1,Michael Thuet,35.209,1
36,ESL,13,Michelle Fritsch,35.227,None
37,XP,65,Paul Thon,35.23,None
38,XS-B,85,Kyle Hanson,35.4,1
39,ES,11,Katherine Clarke,35.492,None
40,XS-A,47,Gregory Gabbott,35.496,1
41,CAM-C,971,Josh Hansen,35.538,None
42,DS,82,Leonardo Di Sera,35.627,None
43,XS-AL,47,Anna Gabbott,35.762,None
44,ESL,27,Cristy Crookston,35.847,None
45,ASP,321,Justin Morrill,35.946,None
46,HS,11,Meredith Bunsawat,36.078,None
47,SS,17,Ryan Swindells,36.079,None
48,XS-A,93,George Curtis,36.322,1
49,GS,14,Anthony Mariano,37.416,1
50,XS-B,93,Hayden Lee,37.461,None
51,HS,8,YUEHIN JONATHAN KWOK,37.564,None
52,SSP,92,Thomas Di Nardo,37.946,2
53,DSP,13,Andrew Davis,37.959,None
54,DS,8,Sante Di Sera,38.624,None
55,XS-B,72,Todd Christopher,38.716,2
56,XS-BL,172,Amy Christopher,39.221,None
57,CAM-T,31,Paul Simmons,39.62,1
58,BS,64,Joshua Shoemaker,40.007,None
59,HSL,10,Hannah Berente,40.21,None
60,CSP,2,Brian Gould,40.572,1
61,CSPL,2,Janiel Gould,41.072,None
62,SS,68,Wyatt Poll,None,None
63,STU,525,Sean Repanshek,None,None
64,STH,11,Nick Blain,None,None
65,CAM-C,13,Christopher Burton,None,None
66,XP,59,Hal McNeil,None,None
67,SSM,88,Tom Eitel,None,dnf
68,XS-B,17,Mark Brown,None,dnf
69,XS-B,716,Chris Dearden,None,None
