Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,hs,2,Evan Markewycz,36.782,None
2,str,178,christopher vreeland,37.093,None
3,bs,41,David Benson,37.257,None
4,asp,5,Jordan Priestley,37.393,None
5,ss,59,Ryan Johnson,37.875,None
6,bs,67,Mark Cornelius,38.084,None
7,bs,537,Tracy Pitkin,38.205,None
8,gs,4,Jake Jackson,38.212,None
9,stx,91,Stephen Curtis,38.368,None
10,sth,81,Danial Ebling,38.562,None
11,gs,110,Christopher Cook,38.687,None
12,bs,4,Cara Benson,38.877,None
13,cs,1,DYLAN KNUTSON,38.953,None
14,stx,523,Besim Hojhalli,38.997,None
15,es,136,Skyler Sisson,39.055,None
16,fs,71,Eric McAfee,39.113,None
17,cam-c,11,Mycole Thon,39.141,None
18,csl,32,Dana Barlow,39.202,None
19,as,3,Ryan Cowley,39.406,None
20,cam-c,1,Jeremy Baker,39.482,None
21,cs,32,Jade Barlow,39.52,None
22,cam-s,71,Vernon Jolley,39.566,None
23,cam-c,52,Koda Atwood,39.567,None
24,cam-c,404,Stephen Komlos,39.86,None
25,es,87,Douglas Brown,39.878,None
26,ss,7,Charlie Swindells,39.979,None
27,fs,37,Brian Maucotel,40.074,None
28,ssp,42,Kevin Schultz,40.26,None
29,es,13,Ryan Fritsch,40.422,None
30,xs-a,28,Chauncey Evans,40.457,None
31,xs-a,91,George Curtis,40.512,None
32,stu,10,Jack Liston,40.581,None
33,str,23,Jeff Clawson,40.629,None
34,smf,242,Anthony Farrington,40.637,None
35,ssp,92,Thomas Di Nardo,40.763,None
36,es,11,Katherine Clarke,41.016,None
37,es,111,Rusty Horlacher,41.086,None
38,xp,114,Andrew Maffessanti,41.151,None
39,es,27,Jake Crookston,41.253,None
40,bs,62,Jon Wayment,41.315,None
41,stu,46,Kris Bruington,41.32,None
42,xs-b,3,Gabriel Jarvis,41.334,None
43,xs-b,17,Mark Brown,41.4,None
44,ds,18,Blake Strand,41.443,None
45,hs,21,Tyler Larsen,41.465,None
46,ds,82,Leonardo Di Sera,41.556,None
47,cs,222,Brayden Bacigalupo,41.558,None
48,cam-c,971,Josh Hansen,41.666,None
49,ds,4,Dan Lemaire,41.77,None
50,cam-sl,89,Claudia Robles,41.808,None
51,esl,87,Abigail Brown,41.941,None
52,csl,1,Katherine Shields,41.973,None
53,cam-c,14,Jared Carter,42.064,None
54,xp,65,Paul Thon,42.198,None
55,cp,22,Robert Rebmann,42.392,None
56,esl,13,Michelle Fritsch,42.701,None
57,cs,98,Jayson Bujold,42.805,None
58,es,132,Joe Skehan,42.85,None
59,cpl,22,Chris Rebmann,43.028,None
60,gs,99,Branden Robertson,43.357,None
61,xs-b,85,Kyle Hanson,43.371,None
62,hs,19,Aaron Borgerding,43.438,None
63,xs-b,37,Travis Breshears,43.604,None
64,ds,8,Sante Di Sera,43.611,None
65,esl,27,Cristy Crookston,43.65,None
66,ds,0,Steve Elrick,43.742,None
67,ds,91,Adam Anderson,43.919,None
68,hs,22,Carlos Alatrista,43.994,None
69,cam-c,213,Greg Buker,44.09,None
70,cam-c,2,Parker Singleton,44.399,None
71,gs,141,Matthew Michaud,44.517,None
72,es,16,Andrew Davis,44.803,None
73,ds,44,Kyler Close,44.841,None
74,cam-t,84,Kyle Ehrig,45.537,None
75,xs-b,716,Chris Dearden,45.552,1
76,csp,2,Brian Gould,45.571,None
77,ds,14,Ryan Shepherd,45.591,None
78,cs,13,Ryan Close,45.813,None
79,cs,9,Matt Prejean,45.966,None
80,cam-c,8,Dustin Sowerby,46.48,None
81,hs,3,Cameron Hatch,46.697,None
82,smf,82,Herb Hall,47.103,None
83,xs-b,5,Trevor Overby,47.551,None
84,cspl,2,Janiel Gould,48.291,None
85,str,42,Andrew Spratt,49.699,None
86,xs-b,61,Daniel Adams,51.138,None
87,em,82,James Nightingale,51.465,1
88,xs-bl,98,Shelby Bujold,52.719,None
89,em,2,Mason Nightingale,53.91,None
90,ds,51,Grayson Kane,None,None
91,ds,1,David Kane,None,None
92,gs,21,Jordan Dovale,None,None
93,cam-t,2,Ralph Pensel,None,None
94,cam-t,6,Alex Giesey,None,None
95,smf,89,Jacob Bastian,None,None
96,xs-a,95,Samuel Heiner,None,None
97,gsl,10,Breanna Campbell,None,None
98,hsl,95,Meagan Heiner,None,None
99,cam-sl,17,Dustin Pace,None,None
