Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,STU,189,Michael Carpenter,38.47,None
2,STR,178,christopher vreeland,38.614,None
3,GS,4,Jake Jackson,38.874,None
4,BS,41,David Benson,38.982,None
5,BS,67,Mark Cornelius,39.172,None
6,ES,36,Cameron DeGroff,39.28,None
7,STU,89,Brandon Davis,39.391,None
8,ES,87,Douglas Brown,39.625,None
9,STU,41,Kevin Schultz,39.637,None
10,ES,187,Rusty Horlacher,39.726,None
11,ES,27,Jake Crookston,39.816,None
12,AS,3,Ryan Cowley,39.911,None
13,FS,71,Eric McAfee,39.958,None
14,BS,4,Cara Benson,40.05,None
15,STX,7,Trevor Smith,40.204,None
16,CAM-C,52,Koda Atwood,40.251,None
17,SS,5,Brandon Hurst,40.289,None
18,STH,81,Danial Ebling,40.35,None
19,STX,91,Stephen Curtis,40.478,None
20,CAM-C,1,Jeremy Baker,40.673,None
21,ESL,27,Cristy Crookston,40.729,None
22,DP,136,Skyler Sisson,40.776,1
23,ASP,21,Rod Derrick,40.801,None
24,CS,32,Jade Barlow,40.87,None
25,STH,18,Michael Terry,41.102,None
26,CS,6,Alex Giesey,41.12,None
27,SSM,83,Justin Scott,41.299,None
28,XP,14,Benjamin Kittrell,41.329,None
29,STX,144,Austin Dowda,41.55,None
30,STR,37,Dave Tille,41.748,None
31,SSM,38,Sheldon Scott,41.779,None
32,CS,222,Brayden Bacigalupo,41.798,1
33,BS,62,Jon Wayment,41.894,None
34,STR,387,Cole Kelson,41.899,None
35,GS,99,Branden Robertson,42.057,None
36,CAM-T,2,Ralph Pensel,42.118,None
37,HS,21,Tyler Larsen,42.128,None
38,STR,7,Tyler Olsen,42.304,None
39,SSP,92,Thomas Di Nardo,42.455,None
40,STR,23,Jeff Clawson,42.529,None
41,CSL,32,Dana Barlow,42.637,None
42,HS,11,Meredith Bunsawat,42.657,None
43,ES,22,Eric Ahern,42.772,None
44,DS,91,Adam Anderson,42.815,None
45,ES,6,Andrew Davis,42.882,None
46,CAM-C,971,Josh Hansen,43.085,None
47,STR,31,Paul Judd,43.225,None
48,CAM-C,65,Bart Artz,43.33,None
49,SMF,89,Jacob Bastian,43.544,None
50,BS,167,Heather Cornelius,43.639,None
51,DP,241,Jesse Wiseman,43.685,None
52,HS,19,Aaron Borgerding,43.745,None
53,GS,5,Nathan Putnam,44.181,None
54,STX,44,John Dowda,44.205,None
55,DSP,170,Matthew michaud,44.346,None
56,CS,98,Jayson Bujold,44.578,None
57,CAM-T,84,Kyle Ehrig,45.099,None
58,CSP,2,Brian Gould,45.452,None
59,CAM-T,31,Paul Simmons,45.697,None
60,GS,22,Valentino Batalla,45.749,None
61,SMF,99,Adam Armstrong,45.881,None
62,HS,29,Reed Robinson,45.898,None
63,CAM-C,8,Dustin Sowerby,46.16,1
64,GS,16,Chris Thompson,46.233,None
65,CAM-T,96,Brett Walton,46.29,None
66,STH,53,Nathan Faucheux,46.376,None
67,FS,24,Jose Meza,46.95,None
68,XS-B,9,Matt Prejean,48.095,None
69,HSL,5,Emilia Hurst,48.122,None
70,DS,24,Madison Caldron,48.171,1
71,GS,212,Ian Davis,48.321,None
72,CSPL,2,Janiel Gould,48.392,None
73,GS,116,Luke Thompson,48.834,1
74,SSP,32,Alex Brigham,49.934,None
75,STR,42,Andrew Spratt,50.086,1
76,XS-BL,98,Shelby Bujold,50.721,None
77,ESP,15,Cameron Beck,51.322,None
78,SS,167,Adam Hill,None,None
79,ES,11,Katherine Clarke,None,None
80,XS-B,77,Ryan Sperry,None,None
