Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,GS,4,Jake Jackson,31.561,None
2,STU,41,Kevin Schultz,31.768,None
3,DP,136,Skyler Sisson,31.993,None
4,CAM-C,52,Koda Atwood,32.231,None
5,CS,1,DYLAN KNUTSON,32.341,None
6,ES,36,Cameron DeGroff,32.386,None
7,ASP,21,Rod Derrick,32.67,None
8,XP,114,Andrew Maffessanti,32.848,None
9,ES,87,Douglas Brown,33.003,None
10,SSP,92,Thomas Di Nardo,33.018,None
11,HS,69,Christian Mariano,33.029,None
12,AS,3,Ryan Cowley,33.128,1
13,STX,7,Trevor Smith,33.154,None
14,CSL,32,Dana Barlow,33.164,None
15,CAM-C,13,Christopher Burton,33.167,None
16,STU,47,Christopher Cook,33.261,1
17,STX,91,Stephen Curtis,33.268,None
18,STH,81,Danial Ebling,33.308,None
19,ES,111,Rusty Horlacher,33.465,None
20,SMF,242,Anthony Farrington,33.473,None
21,DP,82,Timothy Zupancic,33.482,None
22,CAM-C,351,Jose Ramirez,33.551,None
23,CAM-C,971,Josh Hansen,33.826,None
24,XP,14,Benjamin Kittrell,34.065,None
25,DS,93,Tim Campbell,34.1,None
26,ESL,27,Cristy Crookston,34.382,None
27,DSP,1,Michael Thuet,34.422,None
28,XS-B,17,Mark Brown,34.432,None
29,FS,37,Brian Maucotel,34.458,None
30,ES,27,Jake Crookston,34.492,None
31,CAM-C,1,Jeremy Baker,34.539,1
32,CSL,1,Katherine Shields,34.709,None
33,XP,65,Paul Thon,34.834,None
34,ES,11,Katherine Clarke,34.868,None
35,DP,182,Craig Zimet,34.882,None
36,CS,230,Justin Dowey,35.056,None
37,CP,22,Robert Rebmann,35.279,None
38,STR,37,Dave Tille,35.326,1
39,XS-B,72,Todd Christopher,35.371,None
40,STR,23,Jeff Clawson,35.385,None
41,SS,5,Brandon Hurst,35.534,None
42,CAM-C,23,Jason Roberts,36.472,1
43,DP,170,Matthew Michaud,36.738,None
44,ESL,21,Hailey DeGroff,36.756,1
45,XS-B,93,Hayden Lee,36.775,1
46,DSP,13,Andrew Davis,37.567,None
47,CSP,2,Brian Gould,37.631,None
48,GS,14,Anthony Mariano,37.855,1
49,CSPL,2,Janiel Gould,38.739,None
50,STR,42,Andrew Spratt,38.848,None
51,HS,29,Reed Robinson,39.053,2
52,GS,16,Chris Thompson,39.197,None
53,GS,11,Dion Faucheux,39.427,None
54,CAM-S,10,Jex Barber,39.677,None
55,STH,53,Nathan Faucheux,39.927,None
56,DS,53,Gary Peterson,40.251,None
57,GS,116,Luke Thompson,43.132,None
58,STH,55,Brock Westover,43.913,1
59,SMF,14,Carson Repass,47.84,None
60,STH,7,Dennis Hoagland,53.389,None
61,ASP,90,Eduardo Lopez,None,dnf
62,CAM-C,2,Parker Singleton,None,dnf
63,CAM-T,31,Paul Simmons,None,dnf
64,SMF,69,Ethan Merchant,None,None
65,CAM-CL,23,Jennifer Roberts,None,dnf
