Position,Class,Number,Driver,Fastest Time (inc. cones),Penalties
1,STR,178,christopher vreeland,24.829,None
2,AS,3,Ryan Cowley,25.018,None
3,HS,2,Evan Markewycz,25.375,None
4,ES,36,Cameron DeGroff,25.546,None
5,BS,67,Mark Cornelius,25.642,None
6,STH,81,Danial Ebling,25.82,None
7,CS,1,DYLAN KNUTSON,25.87,None
8,HS,26,Justin Robinett,26.033,None
9,DP,136,Skyler Sisson,26.067,None
10,CS,222,Brayden Bacigalupo,26.141,None
11,SSP,92,Thomas Di Nardo,26.294,None
12,FS,71,Eric McAfee,26.336,None
13,ASP,21,Rod Derrick,26.451,None
14,ES,87,Douglas Brown,26.496,None
15,CAM-S,71,Vernon Jolley,26.505,None
16,CAM-C,52,Koda Atwood,26.544,None
17,CAM-C,1,Jeremy Baker,26.557,None
18,XP,14,Benjamin Kittrell,26.66,None
19,ES,27,Jake Crookston,26.699,None
20,STX,91,Stephen Curtis,26.775,None
21,XS-A,91,George Curtis,27.223,None
22,ES,13,Ryan Fritsch,27.445,None
23,XS-B,17,Mark Brown,27.584,None
24,STR,23,Jeff Clawson,27.589,None
25,XP,65,Paul Thon,27.647,None
26,ES,111,Rusty Horlacher,27.709,None
27,ESL,13,Michelle Fritsch,27.736,None
28,DS,82,Leonardo Di Sera,27.82,None
29,ESL,27,Cristy Crookston,27.853,None
30,ES,11,Katherine Clarke,27.945,None
31,CSL,1,Katherine Shields,27.983,None
32,CSL,32,Dana Barlow,27.993,None
33,DS,91,Adam Anderson,28.477,None
34,ES,6,Andrew Davis,28.65,None
35,XS-B,72,Todd Christopher,28.732,None
36,CAM-C,22,Alex Kim,28.748,None
37,GS,141,Matthew Michaud,29.24,None
38,XS-A,95,Samuel Heiner,29.365,None
39,CS,64,Joshua Shoemaker,29.608,None
40,XS-B,721,Ben Meissner,30.034,None
41,CP,172,Boyd Butler,30.118,None
42,XS-B,25,Alexander Lopez,30.139,None
43,STU,8,Treq Cameron,30.141,None
44,CAM-CL,23,Jennifer Roberts,30.742,None
45,CAM-C,8,Dustin Sowerby,30.915,None
46,XS-A,21,Tyler Larsen,31.19,None
47,BS,13,Jex Barber,31.319,None
48,HSL,95,Meagan Heiner,31.623,None
49,CAM-T,31,Paul Simmons,31.69,None
50,CAM-C,23,Jason Roberts,31.826,None
51,GS,116,Luke Thompson,32.203,None
52,DS,53,Gary Peterson,32.587,None
53,HS,10,Hannah Berente,33.0,None
54,STR,69,Ethan O'Regan,33.318,None
55,GS,16,Chris Thompson,38.728,None
56,FM,77,Nathan Putnam,41.607,None
57,HS,29,Reed Robinson,None,dnf
58,CAM-T,415,Richie Andrade,None,dnf
